Species,Code,DBH,Biomass
Acer negundo,ACNE,2,0.762892916
Acer negundo,ACNE,4.3,4.663519358
Acer negundo,ACNE,5.1,6.981870079
Acer negundo,ACNE,7.3,16.3058122
Acer negundo,ACNE,7.5,17.38220764
Acer negundo,ACNE,7.5,17.38220764
Acer negundo,ACNE,9.7,31.93826855
Acer negundo,ACNE,18.7,150.8447235
Acer negundo,ACNE,39.6,889.623863
Acer rubrum,ACNE,6.1,10.66304231
Acer rubrum,ACNE,6.5,12.39135843
Acer rubrum,ACNE,6.8,13.78682837
Acer saccharum,ACSA,1,0.133627393
Acer saccharum,ACSA,1,0.133627393
Acer saccharum,ACSA,1,0.133627393
Acer saccharum,ACSA,1,0.133627393
Acer saccharum,ACSA,1.1,0.168520823
Acer saccharum,ACSA,1.1,0.168520823
Acer saccharum,ACSA,1.2,0.208275644
Acer saccharum,ACSA,1.2,0.208275644
Acer saccharum,ACSA,1.2,0.208275644
Acer saccharum,ACSA,1.2,0.208275644
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.3,0.253079172
Acer saccharum,ACSA,1.4,0.303110067
Acer saccharum,ACSA,1.4,0.303110067
Acer saccharum,ACSA,1.4,0.303110067
Acer saccharum,ACSA,1.4,0.303110067
Acer saccharum,ACSA,1.4,0.303110067
Acer saccharum,ACSA,1.5,0.35853936
Acer saccharum,ACSA,1.5,0.35853936
Acer saccharum,ACSA,1.5,0.35853936
Acer saccharum,ACSA,1.5,0.35853936
Acer saccharum,ACSA,1.5,0.35853936
Acer saccharum,ACSA,1.5,0.35853936
Acer saccharum,ACSA,1.6,0.419531291
Acer saccharum,ACSA,1.6,0.419531291
Acer saccharum,ACSA,1.6,0.419531291
Acer saccharum,ACSA,1.6,0.419531291
Acer saccharum,ACSA,1.6,0.419531291
Acer saccharum,ACSA,1.6,0.419531291
Acer saccharum,ACSA,1.6,0.419531291
Acer saccharum,ACSA,1.6,0.419531291
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.7,0.486244006
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.8,0.558830149
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,1.9,0.637437357
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2,0.722208693
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.1,0.813283017
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.2,0.910795311
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.3,1.014876964
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
