Tree #,Species,DBH1,logDBH1,Status,DBH2,logDBH2
104,Acer saccharum,1.0,0,alive,1.30,0.113943352
132,Acer saccharum,1.0,0,alive,1.30,0.113943352
1778,Fagus grandifolia,1.00,0,alive,1.40,0.146128036
681,Fagus grandifolia,1.0,0,alive,2.00,0.301029996
865,Acer saccharum,1.1,0.041392685,alive,1.30,0.113943352
867,Acer saccharum,1.1,0.041392685,alive,1.30,0.113943352
760,Acer saccharum,1.1,0.041392685,alive,1.40,0.146128036
1007,Acer saccharum,1.1,0.041392685,alive,1.80,0.255272505
1485,Fagus grandifolia,1.10,0.041392685,alive,1.30,0.113943352
759,Acer saccharum,1.2,0.079181246,alive,1.20,0.079181246
1097,Acer saccharum,1.2,0.079181246,alive,1.40,0.146128036
782,Acer saccharum,1.2,0.079181246,alive,1.60,0.204119983
517,Crateagus spp.,1.2,0.079181246,alive,1.90,0.278753601
1424,Fagus grandifolia,1.20,0.079181246,alive,1.90,0.278753601
1335,Fraxinus americana,1.20,0.079181246,alive,2.30,0.361727836
1949,Crateagus spp.,1.3,0.101835405,alive,1.5,0.176091259
126,Acer saccharum,1.3,0.113943352,alive,1.30,0.113943352
142,Acer saccharum,1.3,0.113943352,alive,1.30,0.113943352
884,Acer saccharum,1.3,0.113943352,alive,1.40,0.146128036
1117.1,Acer saccharum,1.3,0.113943352,alive,1.40,0.146128036
86,Acer saccharum,1.3,0.113943352,alive,1.70,0.230448921
1002,Acer saccharum,1.3,0.113943352,alive,1.80,0.255272505
3,Acer saccharum,1.3,0.113943352,alive,1.90,0.278753601
753,Acer saccharum,1.3,0.113943352,alive,1.90,0.278753601
928,Acer saccharum,1.3,0.113943352,alive,2.30,0.361727836
1349,Fraxinus americana,1.30,0.113943352,alive,1.80,0.255272505
99,Ostrya virginia,1.3,0.113943352,alive,1.30,0.113943352
1172,Acer saccharum,1.4,0.146128036,alive,1.40,0.146128036
124,Acer saccharum,1.4,0.146128036,alive,1.50,0.176091259
165,Acer saccharum,1.4,0.146128036,alive,1.50,0.176091259
853,Acer saccharum,1.4,0.146128036,alive,1.50,0.176091259
978,Acer saccharum,1.4,0.146128036,alive,1.50,0.176091259
1176,Acer saccharum,1.4,0.146128036,alive,1.50,0.176091259
103,Acer saccharum,1.4,0.146128036,alive,1.60,0.204119983
640,Acer saccharum,1.4,0.146128036,alive,1.60,0.204119983
974,Acer saccharum,1.4,0.146128036,alive,1.60,0.204119983
1071,Acer saccharum,1.4,0.146128036,alive,1.60,0.204119983
1076,Acer saccharum,1.4,0.146128036,alive,1.60,0.204119983
849,Acer saccharum,1.4,0.146128036,alive,1.70,0.230448921
1117,Acer saccharum,1.4,0.146128036,alive,1.70,0.230448921
128,Acer saccharum,1.4,0.146128036,alive,1.90,0.278753601
732,Acer saccharum,1.4,0.146128036,alive,1.90,0.278753601
890,Acer saccharum,1.4,0.146128036,alive,2.20,0.342422681
61,Acer saccharum,1.4,0.146128036,alive,2.30,0.361727836
743,Acer saccharum,1.4,0.146128036,alive,2.40,0.380211242
138,Acer saccharum,1.5,0.176091259,alive,1.60,0.204119983
1103,Acer saccharum,1.5,0.176091259,alive,1.60,0.204119983
79,Acer saccharum,1.5,0.176091259,alive,1.70,0.230448921
780,Acer saccharum,1.5,0.176091259,alive,1.70,0.230448921
985,Acer saccharum,1.5,0.176091259,alive,1.70,0.230448921
1093,Acer saccharum,1.5,0.176091259,alive,1.70,0.230448921
117,Acer saccharum,1.5,0.176091259,alive,1.80,0.255272505
130,Acer saccharum,1.5,0.176091259,alive,2.00,0.301029996
339,Acer saccharum,1.5,0.176091259,alive,2.00,0.301029996
772,Acer saccharum,1.5,0.176091259,alive,2.40,0.380211242
801,Acer saccharum,1.5,0.176091259,alive,2.50,0.397940009
1350,Fraxinus americana,1.50,0.176091259,alive,1.90,0.278753601
1773,Prunus serotina,1.50,0.176091259,alive,2.10,0.322219295
1787,Prunus serotina,1.55,0.190331698,alive,2.10,0.322219295
154,Acer saccharum,1.6,0.204119983,alive,1.70,0.230448921
881,Acer saccharum,1.6,0.204119983,alive,1.70,0.230448921
201,Acer saccharum,1.6,0.204119983,alive,1.80,0.255272505
955,Acer saccharum,1.6,0.204119983,alive,1.80,0.255272505
227,Acer saccharum,1.6,0.204119983,alive,1.90,0.278753601
850,Acer saccharum,1.6,0.204119983,alive,1.90,0.278753601
910,Acer saccharum,1.6,0.204119983,alive,1.90,0.278753601
1090,Acer saccharum,1.6,0.204119983,alive,1.90,0.278753601
1107,Acer saccharum,1.6,0.204119983,alive,1.90,0.278753601
1171,Acer saccharum,1.6,0.204119983,alive,1.90,0.278753601
888,Acer saccharum,1.6,0.204119983,alive,3.00,0.477121255
1542,Fagus grandifolia,1.60,0.204119983,alive,1.80,0.255272505
1352,Fraxinus americana,1.60,0.204119983,alive,2.50,0.397940009
1298,Prunus serotina,1.60,0.204119983,alive,2.00,0.301029996
1410,Fagus grandifolia,1.61,0.206825876,alive,1.70,0.230448921
1220,Acer saccharum,1.65,0.217483944,alive,1.90,0.278753601
864,Acer saccharum,1.7,0.230448921,alive,1.80,0.255272505
922,Acer saccharum,1.7,0.230448921,alive,1.80,0.255272505
1068,Acer saccharum,1.7,0.230448921,alive,1.80,0.255272505
747,Acer saccharum,1.7,0.230448921,alive,2.00,0.301029996
851,Acer saccharum,1.7,0.230448921,alive,2.00,0.301029996
117.1,Acer saccharum,1.7,0.230448921,alive,2.10,0.322219295
203,Acer saccharum,1.7,0.230448921,alive,2.20,0.342422681
873,Acer saccharum,1.7,0.230448921,alive,2.20,0.342422681
688,Acer saccharum,1.7,0.230448921,alive,2.40,0.380211242
190,Acer saccharum,1.7,0.230448921,alive,2.50,0.397940009
813,Acer saccharum,1.7,0.230448921,alive,2.60,0.414973348
545,Acer saccharum,1.8,0.255272505,alive,1.90,0.278753601
134,Acer saccharum,1.8,0.255272505,alive,2.00,0.301029996
153,Acer saccharum,1.8,0.255272505,alive,2.00,0.301029996
1247,Acer saccharum,1.80,0.255272505,alive,2.00,0.301029996
728,Acer saccharum,1.8,0.255272505,alive,2.10,0.322219295
740,Acer saccharum,1.8,0.255272505,alive,2.10,0.322219295
206,Acer saccharum,1.8,0.255272505,alive,2.20,0.342422681
763,Acer saccharum,1.8,0.255272505,alive,2.20,0.342422681
982,Acer saccharum,1.8,0.255272505,alive,2.20,0.342422681
825,Acer saccharum,1.8,0.255272505,alive,2.30,0.361727836
1193,Acer saccharum,1.8,0.255272505,alive,2.40,0.380211242
668,Acer saccharum,1.8,0.255272505,alive,2.50,0.397940009
1087,Acer saccharum,1.8,0.255272505,alive,2.50,0.397940009
1114,Acer saccharum,1.8,0.255272505,alive,2.70,0.431363764
30,Acer saccharum,1.8,0.255272505,alive,2.90,0.462397998
175,Acer saccharum,1.8,0.255272505,alive,2.90,0.462397998
26,Acer saccharum,1.8,0.255272505,alive,3.00,0.477121255
1568,Fagus grandifolia,1.80,0.255272505,alive,1.80,0.255272505
1359,Fraxinus americana,1.80,0.255272505,alive,1.90,0.278753601
1784,Fraxinus americana,1.80,0.255272505,alive,2.00,0.301029996
750,Acer saccharum,1.8,0.260071388,alive,2.10,0.322219295
1224,Acer saccharum,1.85,0.267171728,alive,2.40,0.380211242
727,Acer saccharum,1.9,0.278753601,alive,1.90,0.278753601
218,Acer saccharum,1.9,0.278753601,alive,2.00,0.301029996
542,Acer saccharum,1.9,0.278753601,alive,2.00,0.301029996
723,Acer saccharum,1.9,0.278753601,alive,2.10,0.322219295
856,Acer saccharum,1.9,0.278753601,alive,2.10,0.322219295
857,Acer saccharum,1.9,0.278753601,alive,2.10,0.322219295
1085,Acer saccharum,1.9,0.278753601,alive,2.10,0.322219295
1091,Acer saccharum,1.9,0.278753601,alive,2.10,0.322219295
1108,Acer saccharum,1.9,0.278753601,alive,2.10,0.322219295
644,Acer saccharum,1.9,0.278753601,alive,2.20,0.342422681
260,Acer saccharum,1.9,0.278753601,alive,2.60,0.414973348
74,Acer saccharum,1.9,0.278753601,alive,3.20,0.505149978
1699,Crateagus spp.,1.90,0.278753601,alive,2.00,0.301029996
1484,Fagus grandifolia,1.90,0.278753601,alive,2.50,0.397940009
1798,Fagus grandifolia,1.95,0.290034611,alive,2.00,0.301029996
1781,Fraxinus americana,1.95,0.290034611,alive,2.80,0.447158031
643,Acer saccharum,2.0,0.301029996,alive,2.00,0.301029996
129,Acer saccharum,2.0,0.301029996,alive,2.10,0.322219295
774,Acer saccharum,2.0,0.301029996,alive,2.10,0.322219295
157,Acer saccharum,2.0,0.301029996,alive,2.20,0.342422681
711,Acer saccharum,2.0,0.301029996,alive,2.20,0.342422681
879,Acer saccharum,2.0,0.301029996,alive,2.20,0.342422681
972,Acer saccharum,2.0,0.301029996,alive,2.20,0.342422681
1082,Acer saccharum,2.0,0.301029996,alive,2.20,0.342422681
207,Acer saccharum,2.0,0.301029996,alive,2.30,0.361727836
238,Acer saccharum,2.0,0.301029996,alive,2.30,0.361727836
893,Acer saccharum,2.0,0.301029996,alive,2.30,0.361727836
984,Acer saccharum,2.0,0.301029996,alive,2.80,0.447158031
1005,Acer saccharum,2.0,0.301029996,alive,2.80,0.447158031
365,Acer saccharum,2.0,0.301029996,alive,3.00,0.477121255
105,Acer saccharum,2.0,0.301029996,alive,3.30,0.51851394
398,Fagus grandifolia,2.0,0.301029996,alive,2.20,0.342422681
1780,Prunus serotina,2.05,0.311753861,alive,2.70,0.431363764
377,Acer saccharum,2.1,0.322219295,alive,2.10,0.322219295
941,Acer saccharum,2.1,0.322219295,alive,2.20,0.342422681
155,Acer saccharum,2.1,0.322219295,alive,2.30,0.361727836
1099,Acer saccharum,2.1,0.322219295,alive,2.30,0.361727836
646,Acer saccharum,2.1,0.322219295,alive,2.40,0.380211242
885,Acer saccharum,2.1,0.322219295,alive,2.40,0.380211242
972.2,Acer saccharum,2.1,0.322219295,alive,2.40,0.380211242
1175,Acer saccharum,2.1,0.322219295,alive,2.40,0.380211242
994,Acer saccharum,2.1,0.322219295,alive,2.50,0.397940009
123,Acer saccharum,2.1,0.322219295,alive,3.00,0.477121255
605,Acer saccharum,2.1,0.322219295,alive,4.00,0.602059991
1293,Prunus serotina,2.10,0.322219295,alive,2.10,0.322219295
1732,Acer saccharum,2.16,0.334453751,alive,2.50,0.397940009
187,Acer saccharum,2.2,0.342422681,alive,2.20,0.342422681
1060,Acer saccharum,2.2,0.342422681,alive,2.30,0.361727836
200,Acer saccharum,2.2,0.342422681,alive,2.40,0.380211242
1044,Acer saccharum,2.2,0.342422681,alive,2.40,0.380211242
76,Acer saccharum,2.2,0.342422681,alive,2.50,0.397940009
559,Acer saccharum,2.2,0.342422681,alive,2.50,0.397940009
781,Acer saccharum,2.2,0.342422681,alive,2.50,0.397940009
810,Acer saccharum,2.2,0.342422681,alive,2.50,0.397940009
999,Acer saccharum,2.2,0.342422681,alive,2.60,0.414973348
378,Acer saccharum,2.2,0.342422681,alive,2.70,0.431363764
947,Acer saccharum,2.2,0.342422681,alive,2.70,0.431363764
638,Acer saccharum,2.2,0.342422681,alive,2.90,0.462397998
633,Acer saccharum,2.2,0.342422681,alive,3.00,0.477121255
36,Acer saccharum,2.2,0.342422681,alive,3.10,0.491361694
607,Acer saccharum,2.2,0.342422681,alive,3.70,0.568201724
340,Ailanthus altissima,2.2,0.342422681,alive,3.40,0.531478917
908,Fagus grandifolia,2.2,0.342422681,alive,2.20,0.342422681
1810,Fagus grandifolia,2.20,0.342422681,alive,2.20,0.342422681
1502,Fagus grandifolia,2.20,0.342422681,alive,2.30,0.361727836
34,Fagus grandifolia,2.2,0.342422681,alive,3.50,0.544068044
1506,Fagus grandifolia,2.27,0.356025857,alive,2.60,0.414973348
179,Acer saccharum,2.3,0.361727836,alive,2.40,0.380211242
858,Acer saccharum,2.3,0.361727836,alive,2.40,0.380211242
1025,Acer saccharum,2.3,0.361727836,alive,2.40,0.380211242
159,Acer saccharum,2.3,0.361727836,alive,2.50,0.397940009
368,Acer saccharum,2.3,0.361727836,alive,2.60,0.414973348
730,Acer saccharum,2.3,0.361727836,alive,2.60,0.414973348
204,Acer saccharum,2.3,0.361727836,alive,2.70,0.431363764
577,Acer saccharum,2.3,0.361727836,alive,2.70,0.431363764
972.1,Acer saccharum,2.3,0.361727836,alive,2.70,0.431363764
1019,Acer saccharum,2.3,0.361727836,alive,2.70,0.431363764
1096,Acer saccharum,2.3,0.361727836,alive,2.70,0.431363764
160,Acer saccharum,2.3,0.361727836,alive,2.80,0.447158031
1115,Acer saccharum,2.3,0.361727836,alive,2.80,0.447158031
362,Acer saccharum,2.3,0.361727836,alive,3.10,0.491361694
585,Acer saccharum,2.3,0.361727836,alive,3.30,0.51851394
60,Acer saccharum,2.3,0.361727836,alive,3.40,0.531478917
59,Fagus grandifolia,2.3,0.361727836,alive,2.30,0.361727836
82,Acer saccharum,2.4,0.380211242,alive,2.40,0.380211242
546,Acer saccharum,2.4,0.380211242,alive,2.40,0.380211242
804,Acer saccharum,2.4,0.380211242,alive,2.50,0.397940009
1026,Acer saccharum,2.4,0.380211242,alive,2.50,0.397940009
1036,Acer saccharum,2.4,0.380211242,alive,2.50,0.397940009
348,Acer saccharum,2.4,0.380211242,alive,2.60,0.414973348
676,Acer saccharum,2.4,0.380211242,alive,2.60,0.414973348
959,Acer saccharum,2.4,0.380211242,alive,2.60,0.414973348
1047,Acer saccharum,2.4,0.380211242,alive,2.60,0.414973348
169,Acer saccharum,2.4,0.380211242,alive,2.70,0.431363764
1045,Acer saccharum,2.4,0.380211242,alive,2.90,0.462397998
98,Acer saccharum,2.4,0.380211242,alive,3.00,0.477121255
114,Acer saccharum,2.4,0.380211242,alive,3.10,0.491361694
113,Acer saccharum,2.4,0.380211242,alive,3.20,0.505149978
363,Acer saccharum,2.4,0.380211242,alive,3.80,0.579783597
1889,Fagus grandifolia,2.40,0.380211242,alive,2.40,0.380211242
1872,Ostrya virginia,2.40,0.380211242,alive,2.90,0.462397998
1296,Prunus serotina,2.40,0.380211242,alive,2.65,0.423245874
1947,Crateagus spp.,2.4,0.387593997,alive,2.8,0.447158031
1814,Fagus grandifolia,2.45,0.389166084,alive,2.60,0.414973348
81,Acer saccharum,2.5,0.397940009,alive,2.60,0.414973348
443,Acer saccharum,2.5,0.397940009,alive,2.60,0.414973348
1167,Acer saccharum,2.5,0.397940009,alive,2.60,0.414973348
178,Acer saccharum,2.5,0.397940009,alive,2.70,0.431363764
547,Acer saccharum,2.5,0.397940009,alive,2.70,0.431363764
748,Acer saccharum,2.5,0.397940009,alive,2.70,0.431363764
766,Acer saccharum,2.5,0.397940009,alive,2.70,0.431363764
906,Acer saccharum,2.5,0.397940009,alive,2.80,0.447158031
75,Acer saccharum,2.5,0.397940009,alive,2.90,0.462397998
267,Acer saccharum,2.5,0.397940009,alive,2.90,0.462397998
988,Acer saccharum,2.5,0.397940009,alive,2.90,0.462397998
1078,Acer saccharum,2.5,0.397940009,alive,2.90,0.462397998
954,Acer saccharum,2.5,0.397940009,alive,3.10,0.491361694
1003,Acer saccharum,2.5,0.397940009,alive,3.10,0.491361694
568,Acer saccharum,2.5,0.397940009,alive,3.90,0.591064607
38,Acer saccharum,2.5,0.397940009,alive,4.50,0.653212514
26.1,Acer saccharum,2.5,0.397940009,alive,4.60,0.662757832
1650,Crateagus spp.,2.50,0.397940009,alive,2.50,0.397940009
439,Fagus grandifolia,2.5,0.397940009,alive,2.50,0.397940009
1827,Fraxinus americana,2.50,0.397940009,alive,3.50,0.544068044
1294,Prunus serotina,2.50,0.397940009,alive,2.60,0.414973348
1355,Prunus serotina,2.50,0.397940009,alive,2.60,0.414973348
1212,Prunus serotina,2.50,0.397940009,alive,2.80,0.447158031
1932,Acer saccharum,2.5,0.399673721,alive,2.90,0.462397998
1249,Fagus grandifolia,2.55,0.40654018,alive,2.90,0.462397998
273,Acer saccharum,2.6,0.414973348,alive,2.60,0.414973348
932,Acer saccharum,2.6,0.414973348,alive,2.60,0.414973348
304,Acer saccharum,2.6,0.414973348,alive,2.70,0.431363764
1012,Acer saccharum,2.6,0.414973348,alive,2.70,0.431363764
1065,Acer saccharum,2.6,0.414973348,alive,2.70,0.431363764
1134,Acer saccharum,2.6,0.414973348,alive,2.70,0.431363764
938,Acer saccharum,2.6,0.414973348,alive,2.80,0.447158031
152,Acer saccharum,2.6,0.414973348,alive,2.90,0.462397998
1027,Acer saccharum,2.6,0.414973348,alive,2.90,0.462397998
1170,Acer saccharum,2.6,0.414973348,alive,2.90,0.462397998
266,Acer saccharum,2.6,0.414973348,alive,3.10,0.491361694
1043,Acer saccharum,2.6,0.414973348,alive,3.10,0.491361694
796,Acer saccharum,2.6,0.414973348,alive,3.20,0.505149978
1079,Acer saccharum,2.6,0.414973348,alive,3.20,0.505149978
350,Acer saccharum,2.6,0.414973348,alive,3.50,0.544068044
800,Acer saccharum,2.6,0.414973348,alive,3.50,0.544068044
324.1,Crateagus spp.,2.6,0.414973348,alive,2.90,0.462397998
55,Fagus grandifolia,2.6,0.414973348,alive,3.70,0.568201724
1334,Prunus serotina,2.60,0.414973348,alive,3.70,0.568201724
1743,Fagus grandifolia,2.63,0.419955748,alive,3.00,0.477121255
210,Acer saccharum,2.7,0.431363764,alive,2.70,0.431363764
594,Acer saccharum,2.7,0.431363764,alive,2.80,0.447158031
829,Acer saccharum,2.7,0.431363764,alive,2.80,0.447158031
940,Acer saccharum,2.7,0.431363764,alive,2.80,0.447158031
976,Acer saccharum,2.7,0.431363764,alive,2.80,0.447158031
1157,Acer saccharum,2.7,0.431363764,alive,2.80,0.447158031
779,Acer saccharum,2.7,0.431363764,alive,2.90,0.462397998
891,Acer saccharum,2.7,0.431363764,alive,3.00,0.477121255
993,Acer saccharum,2.7,0.431363764,alive,3.00,0.477121255
712,Acer saccharum,2.7,0.431363764,alive,3.10,0.491361694
119,Acer saccharum,2.7,0.431363764,alive,3.20,0.505149978
250,Acer saccharum,2.7,0.431363764,alive,3.30,0.51851394
77,Acer saccharum,2.7,0.431363764,alive,3.90,0.591064607
54,Acer saccharum,2.7,0.431363764,alive,4.30,0.633468456
24,Acer saccharum,2.7,0.431363764,alive,5.00,0.698970004
535,Crateagus spp.,2.7,0.431363764,alive,2.80,0.447158031
256,Prunus serotina,2.7,0.431363764,alive,2.90,0.462397998
242,Prunus serotina,2.7,0.431363764,alive,3.70,0.568201724
1651,Carya cordiformis,2.75,0.439332694,alive,2.90,0.462397998
1660,Crateagus spp.,2.77,0.442479769,alive,3.30,0.51851394
1144,Acer saccharum,2.8,0.447158031,alive,2.80,0.447158031
1181,Acer saccharum,2.8,0.447158031,alive,2.80,0.447158031
