MorphoName,SpeciesCode,mass.g
Bamboo,morph1,0.2178
Bamboo,morph1,0.0954
Bamboo,morph1,0.3198
Bamboo,morph1,0.0303
Bamboo,morph1,0.1208
Bamboo,morph1,0.1358
Bamboo,morph1,0.2254
Bamboo,morph1,0.3562
Bamboo,morph1,0.1956
Bamboo,morph1,0.1151
Bamboo,morph1,0.0912
Clover,morph2,0.1081
Clover,morph2,0.0397
Clover,morph2,0.0221
Clover,morph2,0.042
Clover,morph2,0.0259
Clover,morph2,0.0633
Fuzzy Spade,morph3,0.0777
Fuzzy Spade,morph3,0.2216
Fuzzy Spade,morph3,0.6677
Fuzzy Spade,morph3,0.3933
Fuzzy Spade,morph3,0.1445
Fuzzy Spade,morph3,0.2643
Fuzzy Spade,morph3,0.1478
Fuzzy Spade,morph3,0.084
Fuzzy Spade,morph3,1.0223
Goldenrod,morph4,1.4183
Goldenrod,morph4,3.5
Goldenrod,morph4,2.8
Goldenrod,morph4,2
Goldenrod,morph4,3.8
Goldenrod,morph4,1.1
Goldenrod,morph4,1.3
Goldenrod,morph4,2.3
Goldenrod,morph4,2.3
Goldenrod,morph4,2.8
Goldenrod,morph4,1.8
Goldenrod,morph4,1.9
Goldenrod,morph4,3.9
Goldenrod,morph4,1.8
Goldenrod,morph4,2.6
Goldenrod,morph4,1.2
Goldenrod,morph4,2.3
Goldenrod,morph4,0.9
Goldenrod,morph4,1.1
Goldenrod,morph4,3.8
Goldenrod,morph4,1.6
Goldenrod,morph4,1
Goldenrod,morph4,1.3
Goldenrod,morph4,1.3
Goldenrod,morph4,2.6
Goldenrod,morph4,1
Goldenrod,morph4,1.1
Goldenrod,morph4,2.5
Goldenrod,morph4,1.4
Goldenrod,morph4,1.9
Goldenrod,morph4,1.1
Goldenrod,morph4,1.9
Goldenrod,morph4,1.3
Goldenrod,morph4,1.4
Goldenrod,morph4,0.5819
Goldenrod,morph4,1.6
Goldenrod,morph4,2.6
Goldenrod,morph4,2.2
Goldenrod,morph4,1.9
Goldenrod,morph4,6.2
Goldenrod,morph4,2.2
Goldenrod,morph4,1.27
Goldenrod,morph4,9.3
Goldenrod,morph4,4.8
Goldenrod,morph4,3.1
Goldenrod,morph4,5.2
Goldenrod,morph4,2.1
Goldenrod,morph4,2.5
Goldenrod,morph4,3.9
Goldenrod,morph4,3.5
Goldenrod,morph4,2.5
Goldenrod,morph4,1.9783
Goldenrod,morph4,4.5
Goldenrod,morph4,2.4
Goldenrod,morph4,4.3
Goldenrod,morph4,4.7
Goldenrod,morph4,7.3
Goldenrod,morph4,6.4
Goldenrod,morph4,0.2009
