Field Name,Weight
Odi,1.5855
Snap,1.8805
Hor,0.8543
Red,0.0471
Red,0.1074
Red,0.0731
Dead,0.0814
Dead,0.2602
Red,0.0783
Fla,0.0766
Red,0.0394
Red,0.0275
Red,0.0364
Osm,0.0161
Fla,0.0503
Odi,0.0556
Red,0.1001
Red,0.0379
Red,0.074
Red,0.1041
Red,0.053
Red,0.0223
Fla,0.0325
Fla,0.0307
Red,0.1442
Red,0.0282
Fla,0.1074
Red,0.0194
Fla,0.0367
Red,0.0328
Red,0.0909
Odi,0.1596
Fla,0.0697
Fox,0.5993
Red,0.0965
Odi,0.0238
Fox,0.2287
Red,0.0201
Fox,0.0557
Fla,0.0392
Tin,0.0931
Odi,0.1077
Agr,0.0144
Fla,0.0444
Odi,0.0892
Fla,0.0703
Red,0.1228
Fox,0.0921
Fla,0.0493
Fla,0.0868
Red,0.0333
Red,0.0341
Fla,0.1266
Fla,0.0528
Red,0.1752
Fox,0.1938
Odi,0.4344
Fla,0.2424
Red,0.0262
Fla,0.0276
Fox,0.1108
Red,0.0327
Fla,0.0263
Fox,0.4973
Fla,0.0271
Fla,0.0182
Fla,0.041
Fla,0.0219
Red,0.0848
Red,0.0716
Mon,0.211
Red,0.09
Arr,0.0355
Red,0.0621
Fox,0.0978
Fin,0.0532
Red,0.0361
Dead,0.1838
Dead,0.209
Red,0.0418
Fla,0.1322
Fla,0.064
Odi,0.1064
Fox,0.165
Dead,0.1215
Red,0.187
Fox,0.2113
Fox,0.1875
Fla,0.0707
Red,0.0194
Red,0.0476
Dead,0.2476
Fla,0.0405
Red,0.0315
Fla,0.1625
Dead,0.1419
Red,0.0274
Fla,0.0326
Fla,0.0323
Fla,0.0337
Fla,0.0461
Red,0.0429
Red,0.0208
Fox,0.0719
Fla,0.0162
hor,0.0761
Red,0.0284
Agr,0.0214
Dead,0.236
Fla,0.0395
Red,0.0613
Red,0.0242
Fla,0.0378
Fla,0.1258
Fox,0.0897
Fla,0.0323
Dead,0.2716
Fla,0.0443
Fla,0.0277
Fla,0.0812
Fla,0.1042
Red,0.0751
Fla,0.121
Fla,0.1848
Fox,0.286
Red,0.0456
Fla,0.1698
Fla,0.0283
Dead,0.3983
Red,0.0469
Fox,0.1206
Fox,0.1068
Fox,0.1876
Red,0.0428
Fla,0.0647
Fla,0.0275
Fla,0.0973
Fla,0.0408
Fla,0.0202
Fla,0.0496
Fla,0.0581
Red,0.0723
Red,0.0338
Fla,0.0321
Fla,0.0424
Red,0.0417
Red,0.0943
Fla,0.03
Fla,0.0482
Fla,0.0671
Fin,0.0564
Red,0.0431
Fla,0.0291
Red,0.013
Fla,0.05
Fla,0.0789
Fla,0.0356
Fox,0.0368
Red,0.0223
Red,0.0503
Fla,0.0548
Fla,0.0417
Fla,0.0343
Dead,0.1134
Red,0.1124
Dead,0.1348
Dead,0.155
Dead,0.6763
Fox,0.1355
Dead,0.0829
Odi,0.102
Sti,0.5703
Sti,0.8365
Fox,0.5803
Hor,0.5653
Fox,0.4123
Fox,0.4064
Red,0.4329
Fox,0.3111
odi,0.4099
Fox,0.529
Fox,0.5184
Fox,0.1263
Fox,0.6258
Odi,0.6839
Fox,0.5056
Fox,0.4579
Dead,0.248
Bul,0.5235
Fox,0.6473
Fox,0.3831
Fla,0.1648
Odi,0.2531
Fox,0.342
Odi,0.633
Dead,0.2155
Fox,0.5878
Sti,0.3446
Hor,0.2455
Odi,0.4589
Fox,0.3292
Fox,0.3473
Odi,0.4672
Fox,0.4915
Fox,0.5512
Odi,0.8616
Odi,0.3524
Odi,0.5343
