Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Boreal/temperate Larix forest,Heilongjiang,114,475736.0406,0.0394,293.8,5.425,944.78,800,44.3,129.4,Luo 1996
Boreal/temperate Larix forest,Heilongjiang,111,233814.433,0.0291,301.26,-3.441666667,616.2,550,52.3,124.7,Luo 1996
Boreal/temperate Larix forest,Heilongjiang,75,59736.84211,0.114,297.99,-1.608333333,649.05,441,51.7,126.6,Luo 1996
Boreal/temperate Larix forest,Heilongjiang,108,349151.5152,0.033,328.98,2.741666667,734.78,590,46.5,131.8,Luo 1996
Boreal/temperate Larix forest,Heilongjiang,158,354246.3235,0.0544,346.4,2.366666667,753.86,800,44.1,130.2,Luo 1996
Boreal/temperate Larix forest,Heilongjiang,104,238450,0.06,306.16,-2.758333333,646.32,590,51.4,125.2,Luo 1996
Boreal/temperate Larix forest,Heilongjiang,53,36135.42527,0.2422,316.61,-5.308333333,576.35,876,52.6,124.2,Luo 1996
Boreal/temperate Larix forest,Heilongjiang,85,147496.2963,0.0675,373.83,-0.033333333,708,500,49.5,128.4,Luo 1996
Boreal/temperate Larix forest,Jilin,177,598038.1471,0.0367,453.07,1.308333333,760.47,880,42.4,128.1,Luo 1996
Boreal/temperate Larix forest,Jilin,160,627722.2222,0.036,405.97,3.225,806.67,900,42.75,128.27,Luo 1996
Boreal/temperate Larix forest,Jilin,195,1006255.708,0.0219,509.4,2.65,802.36,1075,42.2,127.3,Luo 1996
Boreal/temperate Larix forest,Mongolia,100,124775,0.04,303.18,-3.875,605.85,650,52.5,124.5,Luo 1996
Boreal/temperate Larix forest,Mongolia,55,55298.50746,0.134,318.54,-3.575,649.96,700,50.33,123,Luo 1996
Boreal/temperate Larix forest,Mongolia,171,182403.8462,0.0624,278.07,-4.691666667,599.83,800,52.2,120.8,Luo 1996
Boreal/temperate Larix forest,Mongolia,59,20006.78887,0.2946,324.78,-5.35,614.98,800,50.4,121.7,Luo 1996
Boreal/temperate Larix forest,Mongolia,136,165561.4973,0.0748,310.78,-5.141666667,618.04,781,50.8,121.5,Luo 1996
Boreal/temperate Larix forest,Mongolia,136,166407.0796,0.0565,309.16,-2.333333333,681.3,637,50.4,124,Luo 1996
Boreal/temperate Larix forest,Mongolia,37,9716.010427,0.7289,313.23,-2.008333333,705.84,820,48.4,121.4,Luo 1996
Boreal/temperate Larix forest,Mongolia,39,39349.52298,0.1153,293.53,-3.758333333,711.3,1280,47.1,119.9,Luo 1996
Boreal/temperate Larix forest,Mongolia,39,15736.20334,0.4367,302.85,-4.808333333,623.23,812,50.9,121,Luo 1996
Boreal/temperate Larix forest,Mongolia,36,6390.073082,0.6568,326.01,-4.316666667,634.13,676,50.5,123.2,Luo 1996
Boreal/temperate Larix forest,Mongolia,43,2278.061846,2.0535,316.67,-6.175,583.69,774,51.3,121.5,Luo 1996
Boreal/temperate Larix forest,Mongolia,47,28286.83522,0.2294,320.21,-4.858333333,621.33,810,50.6,122.4,Luo 1996
Boreal/temperate Larix forest,Mongolia,50,20983.96303,0.3679,320.1,-4.508333333,631.09,887,50,121.6,Luo 1996
Boreal/temperate Larix forest,Mongolia,59,4915.896251,1.5576,310.28,-6.058333333,580.63,660,52,122.2,Luo 1996
Boreal/temperate Larix forest,Mongolia,35,3112.924002,1.1645,301.69,-5.883333333,579.4,660,52.3,122.2,Luo 1996
Boreal/temperate Larix forest,Mongolia,31,3665.568369,1.5782,299.34,-5.241666667,607.72,737,51.3,120.8,Luo 1996
Boreal/temperate Larix forest,Mongolia,53,18750,0.404,305.5,-2.55,675.86,846,49.5,121.3,Luo 1996
Boreal/temperate Larix forest,Shanxi,48,105107.362,0.0652,332.66,4.908333333,950.37,2212,37.86,111.57,Luo 1996
Boreal/temperate Larix forest,Shanxi,54,97193.2299,0.0709,310.09,4.375,948.67,2123,38.67,111.88,Luo 1996
Boreal/temperate Larix forest,Shanxi,43,55309.65392,0.1098,313.1,3.891666667,935.3,2299,38.84,112.04,Luo 1996
Boreal/temperate Larix forest,Shanxi,46,139030.6122,0.0588,316.65,3.491666667,921.37,2278,38.95,112.12,Luo 1996
Boreal/temperate Larix forest,Shanxi,62,89676.8559,0.1145,373.89,3.008333333,893.09,2367,39.16,113.64,Luo 1996
Boreal/temperate Larix forest,Shanxi,53,93714.99689,0.1607,332.66,4.908333333,950.37,2055,37.91,111.46,Luo 1996
Boreal/temperate Larix forest,Shanxi,55,72932.36715,0.207,316.65,3.491666667,921.37,2300,39,112.2,Luo 1996
Boreal/temperate Larix forest,Shanxi,31,61994.45983,0.2166,332.66,4.908333333,950.37,1850,37.83,111.5,Luo 1996
Boreal/temperate Larix forest,Sichuan,193,297840,0.0375,578.85,-0.458333333,750.96,3638,30.9,102.4,Luo 1996
Boreal/temperate Larix forest,Sichuan,164,314602.8037,0.0428,578.85,-0.458333333,750.96,3600,30.9,102.3,Luo 1996
Boreal/temperate Larix forest,Sinkiang,30,3349.680171,0.938,79.2,4.083333333,994,1650,47.8,88.1,Luo 1996
Boreal/temperate Larix forest,Sinkiang,132,97168.45878,0.1116,82.85,4.158333333,1080.88,2100,43.8,93,Luo 1996
Boreal/temperate Larix forest,Sinkiang,71,79628.09917,0.2178,98.71,4.658333333,1000.87,1900,48.1,86.4,Luo 1996
Boreal/temperate Larix forest,Sinkiang,172,197247.0817,0.1028,84.63,5.025,1012.96,1883,48,86.9,Luo 1996
Boreal/temperate Larix forest,Sinkiang,177,252506.7144,0.1117,79.89,4.525,1007.74,1700,47.7,86.9,Luo 1996
Boreal/temperate Larix forest,Sinkiang,107,80957.74648,0.1775,86.15,-0.283333333,838.92,1946,47.8,88.7,Luo 1996
Boreal/temperate Larix forest,Sinkiang,157,279288.425,0.1054,79.88,2.658333333,957.04,1871,47,89.4,Luo 1996
