site,family,genus,species,height,biomass
Road,Asteraceae,Achillea,lanulosa,2.6,0.004
Road,Asteraceae,Achillea,lanulosa,4.8,0.026
Road,Asteraceae,Achillea,lanulosa,5.5,0.012
Road,Asteraceae,Achillea,lanulosa,5.2,0.017
Road,Asteraceae,Achillea,lanulosa,8.3,0.027
Road,Asteraceae,Achillea,lanulosa,4,0.011
Road,Asteraceae,Achillea,lanulosa,4.1,0.007
Road,Asteraceae,Achillea,lanulosa,7.3,0.031
Road,Asteraceae,Achillea,lanulosa,9.2,0.059
Road,Asteraceae,Achillea,lanulosa,3.5,0.004
Road,Asteraceae,Achillea,lanulosa,6.1,0.033
Road,Asteraceae,Achillea,lanulosa,3.4,0.005
Road,Asteraceae,Achillea,lanulosa,9.7,0.073
Road,Asteraceae,Achillea,lanulosa,6,0.015
Road,Asteraceae,Achillea,lanulosa,3.5,0.007
Road,Asteraceae,Achillea,lanulosa,3.8,0.005
Road,Asteraceae,Achillea,lanulosa,6.1,0.045
Road,Asteraceae,Achillea,lanulosa,6.6,0.031
Road,Asteraceae,Achillea,lanulosa,6.6,0.035
Road,Asteraceae,Achillea,lanulosa,7.9,0.067
Road,Asteraceae,Achillea,lanulosa,6.8,0.004
Road,Asteraceae,Achillea,lanulosa,6.6,0.004
Road,Asteraceae,Achillea,lanulosa,9.5,0.022
Road,Asteraceae,Achillea,lanulosa,3.9,0.004
Road,Asteraceae,Achillea,lanulosa,4.3,0.005
Road,Asteraceae,Achillea,lanulosa,3.1,0.008
Road,Asteraceae,Achillea,lanulosa,3.5,0.003
Road,Asteraceae,Achillea,lanulosa,3.9,0.007
Road,Asteraceae,Agoseris,aurantiaca,39.2,0.256
Road,Primulaceae,Androsace ,septentrionalis,0.6,0.007
Road,Primulaceae,Androsace ,septentrionalis,3.1,0.017
Road,Primulaceae,Androsace ,septentrionalis,5.7,0.021
Road,Primulaceae,Androsace ,septentrionalis,0.4,0.005
Road,Primulaceae,Androsace ,septentrionalis,15.3,0.02
Road,Primulaceae,Androsace ,septentrionalis,7.5,0.103
Road,Asteraceae,Artemisia,tridentata,3.9,0.064
Road,Asteraceae,Artemisia,tridentata,3,0.015
Road,Asteraceae,Artemisia,tridentata,3,0.011
Road,Asteraceae,Artemisia,tridentata,3.6,0.018
Road,Asteraceae,Artemisia,tridentata,3.9,0.026
Road,Asteraceae,Artemisia,tridentata,3.2,0.011
Road,Asteraceae,Artemisia,tridentata,13.5,2.57
Road,Asteraceae,Artemisia,tridentata,2.9,0.011
Road,Asteraceae,Artemisia,tridentata,4.9,0.044
Road,Asteraceae,Artemisia,tridentata,3,0.021
Road,Poaceae,Bromelica,spectabilis,17.1,0.035
Road,Poaceae,Bromelica,spectabilis,13,0.01
