Species,SpCode,Form,Regression,BSD,Ht,Spread,Canopy.diam.NS,Canopy.diam.EW,DryMassForm,DryMassSpecies,DryMass
1,ACCO,Woody,1,4.5,114,104,97,111,701.5082708,603.1252701,603.1252701
1,ACCO,Woody,1,8.5,110,139,138,140,1912.029743,1588.478211,1588.478211
1,ACCO,Woody,1,7.5,150,203.5,201,206,2932.81298,2648.157256,2648.157256
1,ACCO,Woody,1,5,95,120.5,107,134,883.2673627,692.478594,692.478594
1,ACCO,Woody,1,18,172,247,206,288,9644.610234,9210.774776,9210.774776
1,ACCO,Woody,1,13.5,158,130.5,135,126,3217.477323,3175.106823,3175.106823
1,ACCO,Woody,1,3.5,113,140,141,139,770.8511555,633.563863,633.563863
1,ACCO,Woody,1,5,195,157,172,142,1525.329798,1572.068482,1572.068482
1,ACCO,Woody,1,3,129,138.5,151,126,675.4705438,585.813208,585.813208
1,ACCO,Woody,1,16.5,438,393,329,457,20725.74678,27785.40481,27785.40481
1,ACCO,Woody,1,10,238,300,328,272,7319.253013,7729.326723,7729.326723
1,ACCO,Woody,1,11.5,258,405.5,430,381,12501.55367,13226.11873,13226.11873
1,ACCO,Woody,1,38,444,524.5,479,570,70431.75573,93629.21024,93629.21024
1,ACCO,Woody,1,17,390,368.5,405,332,19070.81521,24543.0565,24543.0565
1,ACCO,Woody,1,21,368,514,604,424,34897.29754,42337.02534,42337.02534
1,ACCO,Woody,1,13,372,378,496,260,14646.39102,18301.22378,18301.22378
1,ACCO,Woody,1,39,296,400.5,313,488,45972.09982,53166.45419,53166.45419
1,ACCO,Woody,1,3,153,132.5,161,104,675.6399583,633.2414289,633.2414289
1,ACCO,Woody,1,1,149,136,105,167,219.8244898,197.8121347,197.8121347
1,ACCO,Woody,1,27.5,377,378.5,381,376,32186.4197,41174.21789,41174.21789
1,ACCO,Woody,1,32.5,338,489.5,479,500,50508.80313,60076.69968,60076.69968
1,ACCO,Woody,1,18,310,429.5,465,394,22658.60631,26014.94586,26014.94586
1,ACCO,Woody,1,29.5,369,486,457,515,46530.21651,57357.82913,57357.82913
1,ACCO,Woody,1,12,254,262.5,243,282,7689.370293,8517.779631,8517.779631
1,ACCO,Woody,1,14,367,291.5,211,372,11510.18863,14774.00689,14774.00689
1,ACCO,Woody,1,38,362,498.5,485,512,62107.56459,76174.10746,76174.10746
1,ACCO,Woody,1,10.5,284,618.5,588,649,19518.45893,20412.63796,20412.63796
1,ACCO,Woody,1,2.5,209,156,187,125,750.7368916,784.267967,784.267967
1,ACCO,Woody,1,20,363,326,301,351,19048.73414,24222.62655,24222.62655
1,ACCO,Woody,1,22.5,414,418.5,429,408,30359.69698,39739.51838,39739.51838
1,ACCO,Woody,1,21,270,307.5,318,297,17013.89761,19238.60327,19238.60327
1,ACCO,Woody,1,26.5,400,514,549,479,45665.26691,57715.78038,57715.78038
1,ACCO,Woody,1,15,286,258,276,240,9866.068193,11578.37311,11578.37311
1,ACCO,Woody,1,16,251,264,238,290,10413.13587,11548.76556,11548.76556
1,ACCO,Woody,1,18.5,343,388.5,414,363,21322.49069,25876.72171,25876.72171
1,ACCO,Woody,1,24.5,457,629.5,558,701,56058.86358,73050.76467,73050.76467
1,ACCO,Woody,1,10.5,272,281.5,286,277,7437.741954,8384.79956,8384.79956
1,ACCO,Woody,1,8.5,370,365,388,342,8997.983047,11149.98368,11149.98368
1,ACCO,Woody,1,10,393,381.5,306,457,11461.08875,14550.47941,14550.47941
1,ACCO,Woody,1,11,236,357,321,393,9948.978588,10278.57,10278.57
1,ACCO,Woody,1,50.5,223,568.5,527,610,84068.43268,83229.89705,83229.89705
1,ACCO,Woody,1,10,348,292,321,263,7985.042916,9938.187742,9938.187742
1,ACCO,Woody,1,10,289,277,322,232,7066.067299,8179.268113,8179.268113
1,ACCO,Woody,1,8.5,314,320.5,301,340,7302.231296,8571.597516,8571.597516
1,ACCO,Woody,1,6.5,248,274,234,314,4240.044883,4558.29225,4558.29225
1,ACCO,Woody,1,14.5,439,536.5,625,448,26401.64397,34039.00251,34039.00251
1,ACCO,Woody,1,24.5,241,351,292,410,22621.59261,24085.80912,24085.80912
1,ACCO,Woody,1,5,131,267,263,271,2556.161181,2089.727916,2089.727916
1,ACCO,Woody,1,5,161,256.5,236,277,2598.685667,2329.667848,2329.667848
1,ACCO,Woody,1,10.5,136,129.5,129,130,2339.417415,2155.338115,2155.338115
1,ACCO,Woody,1,14,359,378.5,370,387,15672.1599,19321.13811,19321.13811
1,ACCO,Woody,1,7,114,153,184,122,1773.318094,1471.915187,1471.915187
1,ACCO,Woody,1,20,324,553,576,530,34805.0547,39613.73987,39613.73987
1,ACCO,Woody,1,13.5,405,342,295,389,13865.53533,18192.24287,18192.24287
1,ACCO,Woody,1,15,319,307,323,291,12599.20514,15170.43106,15170.43106
1,ACCO,Woody,1,9.5,232,320,303,337,7440.54234,7704.036362,7704.036362
1,ACCO,Woody,1,10,252,446.5,447,446,12049.67795,12436.32206,12436.32206
1,ACCO,Woody,1,6,332,170.5,171,170,2410.313996,3096.162274,3096.162274
1,ACCO,Woody,1,5.5,322,249,284,214,3445.222396,4167.92578,4167.92578
1,ACCO,Woody,1,28,334,459.5,505,414,39905.31532,47411.2376,47411.2376
1,ACCO,Woody,1,7,325,340.5,341,340,6486.011318,7634.519815,7634.519815
1,ACCO,Woody,1,2.5,134,127.5,145,110,511.430167,453.2139498,453.2139498
1,ACCO,Woody,1,11,247,380,416,344,10883.7501,11379.04091,11379.04091
1,ACCO,Woody,1,3.5,225,139,117,161,949.4258989,1045.860025,1045.860025
1,ACCO,Woody,1,4.5,225,148.5,147,150,1336.615842,1469.718672,1469.718672
1,ACCO,Woody,1,3,125,117.5,103,132,548.2813341,478.4383487,478.4383487
1,ACCO,Woody,1,5,167,175.5,188,163,1661.914902,1582.832107,1582.832107
1,ACCO,Woody,1,1.5,101,59,62,56,108.2150446,92.06827354,92.06827354
1,ACCO,Woody,1,11,379,373.5,361,386,12198.81433,15324.10022,15324.10022
1,ACCO,Woody,1,3,239,166,144,188,1021.046937,1125.699335,1125.699335
1,ACCO,Woody,1,15,434,382.5,454,311,18107.77795,24203.79178,24203.79178
1,ACCO,Woody,1,13,455,442,509,375,18852.92435,25185.96623,25185.96623
1,ACCO,Woody,1,14.5,352,398,431,365,17167.00468,20880.96286,20880.96286
NA,ACGR,Woody,1,4,214,119,114,124,890.3643926,981.1712303,981.1712303
NA,ACGR,Woody,1,11,153,182.5,171,194,3857.808333,3591.291681,3591.291681
NA,ACGR,Woody,1,10,160,136.5,125,148,2493.864214,2443.358093,2443.358093
NA,ACGR,Woody,1,6.5,163,143.5,150,137,1700.221851,1651.857443,1651.857443
NA,ACGR,Woody,1,2.5,104,126.5,123,130,467.7015733,372.5802875,372.5802875
NA,ACGR,Woody,1,14.5,283,370.5,359,382,14698.09699,16437.19017,16437.19017
NA,ACGR,Woody,1,15.5,283,379.5,399,360,16220.69192,18117.3611,18117.3611
NA,ACGR,Woody,1,12,341,449.5,494,405,16161.33264,19030.28777,19030.28777
NA,ACGR,Woody,1,3,305,159.5,147,172,1050.642508,1290.603386,1290.603386
NA,ACGR,Woody,1,8,244,267.5,248,287,5088.749146,5475.834701,5475.834701
NA,ACGR,Woody,1,4,212,239,218,260,2061.768228,2083.372102,2083.372102
NA,ACGR,Woody,1,2.5,93,192,143,241,747.5496624,540.5201955,540.5201955
NA,ACGR,Woody,1,30,314,298,360,236,24921.70517,30414.72315,30414.72315
NA,ACGR,Woody,1,6,173,303,255,351,3932.056261,3578.630401,3578.630401
NA,ACGR,Woody,1,3,125,46,51,41,176.5456518,172.1816051,172.1816051
NA,ACGR,Woody,1,7,194,201,220,182,2915.706606,2935.533098,2935.533098
NA,ACGR,Woody,1,7.5,295,253.5,263,244,4733.0257,5546.593571,5546.593571
NA,ACGR,Woody,1,13,161,208,251,165,5465.51426,5139.622301,5139.622301
NA,ACGR,Woody,1,28,196,249.5,291,208,16128.93332,16434.58443,16434.58443
NA,ACGR,Woody,1,18.5,262,310.5,309,312,14940.36872,16610.03659,16610.03659
NA,ACGR,Woody,1,13,332,355,388,322,13098.39044,15712.77692,15712.77692
NA,ACGR,Woody,1,7.5,224,224,211,237,3737.088036,3954.513065,3954.513065
NA,ACGR,Woody,1,4,159,155.5,121,190,1120.22576,1054.38128,1054.38128
NA,ACGR,Woody,1,8.5,316,192,214,170,3939.390052,4927.176305,4927.176305
NA,ACGR,Woody,1,8.5,171,108.5,136,81,1628.8047,1680.18903,1680.18903
NA,ACGR,Woody,1,6,160,222.5,241,204,2641.623496,2412.62601,2412.62601
NA,ACGR,Woody,1,17.5,269,246,216,276,10729.92576,12384.44138,12384.44138
NA,ACGR,Woody,1,9.5,217,225,220,230,4760.09353,4995.331231,4995.331231
NA,ACGR,Woody,1,59.5,223,353,354,352,56085.44043,58986.6276,58986.6276
NA,ACGR,Woody,1,30,165,272,254,290,18222.63186,17113.22117,17113.22117
NA,ACGR,Woody,1,16.5,213,243,230,256,9237.559701,9657.66954,9657.66954
