Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N deg.),LON.(E deg.),Reference
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Shucheng Anhui province,-9999,3122.333333,3,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Shucheng Anhui province,-9999,4166.933333,3.75,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Shucheng Anhui province,-9999,2267.111111,4.5,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Shucheng Anhui province,-9999,2306.285714,5.25,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Junyun Mountain Sichuan province,-9999,2228.697635,7.018,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Dagang Mountain Jiangxi province,-9999,21872.3099,0.2788,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Dagang Mountain Jiangxi province,-9999,22125.64103,0.39,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Dagang Mountain Jiangxi province,-9999,21903.19032,0.4545,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Phyllostachys heteroclada Oliver P. nigra and P. Pubescens Mazel ex H.de,Baishui Gansu province,-9999,2500.461538,6.5,-9999,-9999,-9999,-9999,-9999,-9999,Feng et al. 1999
Sasa nipponica,Japan Nagano Perfecture,2,4.010282776,389,-9999,-9999,-9999,1700,35 55'N,138 10'E,Connell 1982 
Sasa nikkoensis,Japan Nagano Perfecture,4,12.30769231,260,-9999,-9999,-9999,2150,35 55'N,138 10'E,Connell 1982 
Sasa oseana,Japan Nagano Perfecture,4,12.91666667,216,-9999,-9999,-9999,1400,37 00'N,139 20'E,Connell 1982 
Sasa kurilensis,Japan Nagano Perfecture,9.2,84.36363636,27.5,-9999,-9999,-9999,550,43 00'N,140 55'E,Connell 1982 
