Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),"LAT.(N, deg.)","LON.(E, deg.)",Reference
Temperate mixed coniferous-broadleaved forest,Heilongjiang,21,6976.893453,0.6232,325.11,-0.35,680.99,300,50.7,127.2,Luo 1996
Temperate mixed coniferous-broadleaved forest,Heilongjiang,101,67418.18182,0.11,415.57,-0.108333333,731.23,350,47,129,Luo 1996
Temperate mixed coniferous-broadleaved forest,Heilongjiang,21,9771.223815,0.3628,334.8,2.758333333,766.42,450,45.18,130.18,Luo 1996
Temperate mixed coniferous-broadleaved forest,Heilongjiang,23,25645.16129,0.2666,407.23,3.016666667,835.53,300,45.2,127.5,Luo 1996
Temperate mixed coniferous-broadleaved forest,Jilin,48,75533.98058,0.1133,371.59,5.3,928.71,250,43.9,125.3,Luo 1996
Temperate mixed coniferous-broadleaved forest,Jilin,22,21969.69697,0.297,508.64,4.891666667,899.03,400,42.52,125.42,Luo 1996
Temperate mixed coniferous-broadleaved forest,Jilin,24,39056.33803,0.213,559.8,3.85,834.14,300,41.9,127,Luo 1996
Temperate mixed coniferous-broadleaved forest,Liaoning,38,121208.7912,0.1001,578.98,6.5,906.42,233,40.88,123.9,Luo 1996
Temperate mixed coniferous-broadleaved forest,Liaoning,20,15146.70659,0.334,609.39,4.083333333,852.07,500,41.6,125.3,Luo 1996
Tropical rainforest and monsoon forest,Hainan,20,31886.121,0.1967,1021.99,24.725,1337.25,15,19.5,110.73,Luo 1996
Tropical rainforest and monsoon forest,Hainan,55,218981.8182,0.11,982.51,24.475,1322.79,15,19.88,110.62,Luo 1996
Tropical rainforest and monsoon forest,Guangxi,70,26260.81081,0.74,-9999,-9999,-9999,15,21.47,109.72,Luo 1996
Tropical rainforest and monsoon forest,Fujian,20,4362.019231,2.08,611.88,21.29166667,1228.93,15,24.4,117.92,Luo 1996
Tropical rainforest and monsoon forest,Guangxi,19,59772.07977,0.1404,993.25,23.18333333,1205.9,35,21.5,109.1,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,27,228024.948,0.0481,980.53,21.25,1133.21,175,23,110.65,Luo 1996
Subtropical Pinus massoniana forest,Guangdong,18,104802.5712,0.1089,1035.74,22.28333333,1218.39,200,23,113.7,Luo 1996
Subtropical Pinus massoniana forest,Guangdong,30,70244,0.25,1140.23,18.36666667,1099.21,270,23.08,112.35,Luo 1996
Subtropical Pinus massoniana forest,Guangdong,22,103323.9437,0.1065,754.49,17.90833333,1025.6,500,23.6,115.1,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,38,398850.5747,0.0435,769.79,16.25,996.68,300,23.75,105.08,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,32,223205.1282,0.0546,1000.21,19.45833333,1075.47,255,24.45,111.77,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,28,185388.8889,0.054,888.8,20.525,1078.79,215,24.58,108.28,Luo 1996
Subtropical Pinus massoniana forest,Jiangxi,29,132238.5965,0.1425,1054.45,18.71666667,1107.37,600,24.7,114.5,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,26,178017.8838,0.0671,879.46,19.65,1052.1,490,24.8,108.8,Luo 1996
Subtropical Pinus massoniana forest,Jiangxi,29,132961.4035,0.1425,1015.4,19.04166667,1117.98,600,24.8,114.4,Luo 1996
Subtropical Pinus massoniana forest,Guizhou,20,85900.08613,0.1161,848.88,15.95833333,1006.97,1390,25.58,105.13,Luo 1996
Subtropical Pinus massoniana forest,Hunan,30,234234.6939,0.0392,844.65,16.85833333,972.93,410,26.83,109.59,Luo 1996
Subtropical Pinus massoniana forest,Hubei,22,81930.23256,0.129,941.86,14.59166667,898.31,680,29.4,109.3,Luo 1996
Subtropical Pinus massoniana forest,Hubei,22,25174.88789,0.3345,932.58,15.33333333,915.25,1100,30.2,109.4,Luo 1996
Subtropical Pinus massoniana forest,An'hui,20,58811.88119,0.1515,550.78,15.76666667,1028.63,400,32.2,118.2,Luo 1996
Subtropical Pinus massoniana forest,Guangdong,30,85294.11765,0.17,1040.84,22.425,1216.94,250,23.22,113.71,Luo 1996
Subtropical Pinus massoniana forest,Guangdong,23,73063.97306,0.1782,947.39,22.425,1195.7,200,23.2,113.2,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,24,103800.825,0.1697,984.1,19.725,1084.23,450,24.1,111.5,Luo 1996
Subtropical Pinus massoniana forest,Jiangxi,34,114185.7923,0.0915,963.03,17.95833333,1106.77,217,29,115.8,Luo 1996
Subtropical Pinus massoniana forest,An'hui,19,34876.95749,0.2235,499.07,15.53333333,1045.97,500,32.7,117.9,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,15,36120.79701,0.1606,891.53,21.975,1126.36,350,21.98,107.07,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,23,82724.63768,0.1725,769.79,16.25,996.68,300,23.75,105.08,Luo 1996
Subtropical Pinus massoniana forest,Guangxi,31,265656.3246,0.0838,872.18,20.225,1072.43,220,24.42,108.68,Luo 1996
Subtropical Pinus massoniana forest,Guizhou,18,47865.07937,0.126,854.67,15.5,961.64,1420,26.17,106.09,Luo 1996
Subtropical Pinus massoniana forest,Guizhou,19,51451.45145,0.0999,787.43,15.475,946.62,1106,26.33,106.73,Luo 1996
Subtropical Pinus massoniana forest,Zhejiang,22,48920.35398,0.1695,1067.65,15.91666667,970.14,500,28.4,119.9,Luo 1996
Subtropical Pinus massoniana forest,Zhejiang,20,32040.57971,0.1725,892.4,17.95,1049.51,300,29.1,119.6,Luo 1996
Subtropical Pinus massoniana forest,Sichuan,20,8591.666667,0.36,721.67,18.65833333,928.25,450,29.72,106.63,Luo 1996
Subtropical Pinus massoniana forest,An'hui,21,63824.5614,0.1425,1053.9,13.625,955.35,500,30.13,118.15,Luo 1996
Subtropical Pinus massoniana forest,Hubei,19,34027.10027,0.1845,580.23,16.65,1014.66,120,30.8,112.8,Luo 1996
Subtropical Pinus massoniana forest,Hubei,18,30138.31259,0.2169,628.72,12.6,921.99,650,31.8,111.2,Luo 1996
Subtropical Pinus massoniana forest,Zhejiang,18,55326.02424,0.1733,980.66,17.825,1002.66,200,28,120.6,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,19,10906.23033,0.4767,714.94,13.51666667,924.29,1850,27.17,105.62,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,17,9164.605661,0.3639,678.86,10.9,933.34,1940,27.05,104.65,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,16,70840.43849,0.0821,630.87,13.54166667,967.46,1443,27.13,104.89,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,23,98902.07715,0.0674,747.39,14.58333333,920.83,1400,27.05,106.82,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,23,49644.73684,0.152,788.26,13.18333333,949.68,1680,26.73,105.37,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,23,46374.70998,0.1724,857.37,15.98333333,1001.54,1700,25.68,105.13,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,16,53270.30033,0.0899,648.11,12.54166667,993.89,2360,26.88,104.33,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,30,37678.83212,0.137,613.21,11.45,977.17,2300,27.02,104.16,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Guizhou,20,34775.37438,0.1202,702.45,17.95,1065.98,1920,24.9,104.65,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Hubei,20,29836.92107,0.3066,769.49,14.39166667,921.29,1638,31,110.3,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Hubei,16,9620.661824,0.6195,563.15,16.31666667,1030.46,1700,31.4,113.6,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Hubei,18,27259.46372,0.2536,831.55,15.04166667,1022.98,1350,31,115.7,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Hubei,16,37879.36508,0.1575,974.46,14.99166667,965.45,925,29.2,113.8,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Hubei,16,35321.56863,0.255,874.72,16.89166667,1035.88,120,29.7,114.3,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Hubei,21,130721.8935,0.0845,669.83,17.28333333,991.82,1500,30.7,111.3,Luo 1996
"Subtropical montane Pinus armandii, P. taiwanensis and P. densada forest",Shandong,18,19972.49509,0.2545,365.95,13.325,1230.42,1000,36.4,117.2,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hainan,16,55152.27159,0.2003,649.79,24.5,1325.88,780,18.7,108.8,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,20,39243.63636,0.275,920.58,23.16666667,1207.25,500,21.68,110.3,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,16,14110.56911,0.3075,969.13,21.1,1128.29,460,23.1,111.1,Luo 1996
