Taxon,dbh.06,dbh.11,mass.kg.06,mass.kg.11
Acer negundo,4.2,4.3,4.411074942,4.663519358
Acer negundo,17.95,18.7,136.9258284,150.8447235
Acer negundo,39.6,39.6,889.623863,889.623863
Acer negundo,4.7,5.1,5.755408891,6.981870079
Acer negundo,7.3,7.5,16.3058122,17.38220764
Acer negundo,3.3,,2.493646333,
Acer negundo,2.2,,0.955787666,
Acer negundo,6,7.5,10.25423018,17.38220764
Acer negundo,6.4,9.7,11.94521019,31.93826855
Acer negundo,,2,,0.762892916
Acer negundo,5.3,7.3,7.646846964,16.3058122
Acer rubrum,5.4,6.1,7.992488516,10.66304231
Acer rubrum,5.5,6.8,8.3469793,13.78682837
Acer rubrum,6.4,6.5,11.94521019,12.39135843
Acer saccharum,3.85,5.2,3.556509753,7.392491526
Acer saccharum,1.65,1.9,0.452162887,0.637437357
Acer saccharum,4,5.1,3.903281985,7.051196522
Acer saccharum,1.85,2.4,0.597372076,1.125656027
Acer saccharum,6.95,8.2,14.97803729,22.40274192
Acer saccharum,1.9,,0.637437357,
Acer saccharum,9,10.2,28.10040717,38.10921776
Acer saccharum,2.16,2.5,0.871009351,1.243257436
Acer saccharum,7.4,8.3,17.4493538,23.07360155
Acer saccharum,4.65,4.7,5.6313105,5.779843804
Acer saccharum,4.9,5.2,6.396918156,7.392491526
Acer saccharum,5.35,6,7.922354512,10.47300401
Acer saccharum,6.3,6.8,11.79370504,14.2032814
Acer saccharum,7.95,8.4,20.7763456,23.75615413
Acer saccharum,7.7,8.3,19.22167454,23.07360155
Acer saccharum,3.2,3.5,2.267417914,2.820109229
Acer saccharum,4.3,,4.654621925,
Acer saccharum,5.8,6,9.643438568,10.47300401
Acer saccharum,4.75,5.7,5.930660735,9.243704847
Acer saccharum,3.4,3.8,2.627976493,3.445122962
Acer saccharum,4,4.3,3.903281985,4.654621925
Acer saccharum,7.3,9.7,16.88091575,33.72059676
Acer saccharum,9.8,10.6,34.57307511,41.84995868
Acer saccharum,5.1,5.9,7.051196522,10.0531801
Acer saccharum,1.3,1.9,0.253079172,0.637437357
Acer saccharum,5.1,5.6,7.051196522,8.853903651
Acer saccharum,1.6,,0.419531291,
Acer saccharum,2.5,,1.243257436,
Acer saccharum,1.3,,0.253079172,
Acer saccharum,4.1,6.4,4.145089959,12.25459009
Acer saccharum,6.5,9.1,12.72592001,28.86649492
Acer saccharum,15.4,,103.8863374,
Acer saccharum,3.5,,2.820109229,
Acer saccharum,2.6,,1.367803214,
Acer saccharum,2.7,5,1.499412652,6.719365742
Acer saccharum,1.8,3,0.558830149,1.93777815
Acer saccharum,1.8,2.9,0.558830149,1.784286965
Acer saccharum,2.9,3.3,1.784286965,2.443780127
Acer saccharum,3,4.4,1.93777815,4.922525804
Acer saccharum,2.9,4.1,1.784286965,4.145089959
Acer saccharum,2.2,3.1,0.910795311,2.098785869
Acer saccharum,2.5,4.5,1.243257436,5.199306229
Acer saccharum,3.4,4.3,2.627976493,4.654621925
Acer saccharum,2.2,,0.910795311,
Acer saccharum,2.7,4.3,1.499412652,4.654621925
Acer saccharum,2.3,3.4,1.014876964,2.627976493
Acer saccharum,1.4,2.3,0.303110067,1.014876964
Acer saccharum,19.2,23.5,177.7081506,290.6356513
Acer saccharum,2.8,3.8,1.638202469,3.445122962
Acer saccharum,1.9,3.2,0.637437357,2.267417914
Acer saccharum,2.5,2.9,1.243257436,1.784286965
Acer saccharum,2.2,2.5,0.910795311,1.243257436
Acer saccharum,2.7,3.9,1.499412652,3.669990691
Acer saccharum,3.9,4.6,3.669990691,5.485050244
Acer saccharum,1.5,1.7,0.35853936,0.486244006
Acer saccharum,3.1,3.5,2.098785869,2.820109229
Acer saccharum,2.5,2.6,1.243257436,1.367803214
Acer saccharum,2.4,2.4,1.125656027,1.125656027
Acer saccharum,4.4,5.5,4.922525804,8.473958934
