Morpho,mass.g
Goldenrod,1.4183
Goldenrod,3.5
Goldenrod,2.8
Goldenrod,2
Goldenrod,3.8
Goldenrod,1.1
Goldenrod,1.3
Goldenrod,2.3
Goldenrod,2.3
Goldenrod,2.8
Goldenrod,1.8
Goldenrod,1.9
Goldenrod,3.9
Goldenrod,1.8
Goldenrod,2.6
Goldenrod,1.2
Goldenrod,2.3
Goldenrod,0.9
Goldenrod,1.1
Goldenrod,3.8
Goldenrod,1.6
Goldenrod,1
Goldenrod,1.3
Goldenrod,1.3
Goldenrod,2.6
Goldenrod,1
Goldenrod,1.1
Goldenrod,2.5
Goldenrod,1.4
Goldenrod,1.9
Goldenrod,1.1
Goldenrod,1.9
Goldenrod,1.3
Goldenrod,1.4
Goldenrod,0.5819
Goldenrod,1.6
Goldenrod,2.6
Goldenrod,2.2
Goldenrod,1.9
Goldenrod,6.2
Goldenrod,2.2
Goldenrod,1.27
Goldenrod,9.3
Goldenrod,4.8
Goldenrod,3.1
Goldenrod,5.2
Goldenrod,2.1
Goldenrod,2.5
Goldenrod,3.9
Goldenrod,3.5
Goldenrod,2.5
Goldenrod,1.9783
Goldenrod,4.5
Goldenrod,2.4
Goldenrod,4.3
Goldenrod,4.7
Goldenrod,7.3
Goldenrod,6.4
Purple Disc,7
Red Tassel Grass,1.8
Red Tassel Grass,3.6
Red Tassel Grass,0.5902
Red Tassel Grass,4.9
Red Tassel Grass,2.7
Red Tassel Grass,4
Red Tassel Grass,0.9511
Red Tassel Grass,3.4
Red Tassel Grass,1.4
Red Tassel Grass,4.4
Red Tassel Grass,2.6
Red Tassel Grass,4.8
Red Tassel Grass,1.9
Red Tassel Grass,2.6
Red Tassel Grass,3.2
Red Tassel Grass,1.4
Red Tassel Grass,3
Red Tassel Grass,1.4
Red Tassel Grass,4
Red Tassel Grass,4.8
Red Tassel Grass,3
Red Tassel Grass,5.6
Red Tassel Grass,6.1
Red Tassel Grass,5.4
Red Tassel Grass,6.3
Wingstem,16.7
Goldenrod,0.2009
Goldenrod,0.1747
Goldenrod,0.5546
Goldenrod,0.8113
Goldenrod,0.5202
Goldenrod,0.0638
Goldenrod,0.9
Goldenrod,0.3877
Goldenrod,0.1367
Goldenrod,1.4129
Goldenrod,1.4
Goldenrod,0.8
Goldenrod,1.1
Goldenrod,0.3217
Goldenrod,0.3632
Goldenrod,0.5486
Goldenrod,0.0791
Goldenrod,0.3741
Goldenrod,0.9021
Goldenrod,0.2277
Goldenrod,0.7262
Goldenrod,0.4439
Goldenrod,0.5981
Goldenrod,0.4927
Goldenrod,0.2501
Goldenrod,0.3199
Goldenrod,0.3714
Goldenrod,2.3
Horsetail,0.8325
Horsetail,1.0867
Horsetail,0.0637
Horsetail,0.9583
Mini Rod,0.4125
Mini Rod,0.7615
Mini Rod,0.6106
Mini Rod,0.1585
Mini Rod,0.7
Mini Rod,0.9
Mini Rod,0.4055
Mini Rod,0.5454
