Morpho,mass.g
solc,0.563
solc,0.489
solc,0.107
solc,0.123
solc,0.226
solc,2.471
solc,3.395
solc,0.099
solc,0.143
solc,0.109
solc,0.194
solc,1.846
solc,0.072
solc,0.173
solc,0.153
solc,0.200
solc,0.819
solc,4.016
solc,0.476
solc,0.078
solc,0.647
solc,1.065
solc,3.614
solc,4.240
solc,5.839
solc,2.649
solc,11.002
solc,3.490
solc,5.326
solc,4.002
solc,0.470
solc,1.376
solc,2.254
solc,0.170
solc,4.187
solc,1.120
solc,2.403
solc,0.561
solc,2.057
solc,5.899
solc,2.130
solc,3.704
solc,1.734
solc,0.347
solc,0.341
solc,15.700
solc,13.600
solc,3.873
solc,0.417
solc,2.443
solc,6.900
solc,0.458
solc,0.565
solc,6.016
solc,3.317
solc,2.855
solc,1.518
solc,3.297
solc,1.172
solc,1.487
solc,4.212
solc,0.773
solc,4.682
solc,6.082
solc,4.151
solc,1.788
solc,1.543
solc,0.782
solc,0.111
solc,2.576
solc,1.781
solc,0.175
solc,3.730
solc,3.366
solc,3.361
solc,0.744
solc,0.291
solc,2.002
solc,0.309
solc,2.359
solc,6.780
solc,4.446
solc,10.130
solc,5.706
solc,2.051
solc,8.189
solc,0.691
solc,2.345
solc,1.043
solc,0.044
solc,0.998
solc,0.170
solc,1.943
solc,0.138
solc,2.987
solc,0.026
solc,3.473
solc,0.049
solc,4.681
solc,0.228
solc,0.312
solc,2.358
solc,0.730
solc,6.389
solc,1.494
solc,0.509
solc,10.777
solc,0.060
solc,3.595
solc,6.830
solc,5.609
solc,4.966
solc,2.205
solc,6.033
solc,3.111
solc,13.801
solc,2.696
solc,3.910
solc,2.498
solc,2.801
solc,1.208
solc,3.414
solc,1.800
solc,4.311
solc,0.251
solc,0.490
solc,6.071
solc,1.912
solc,0.052
solc,0.165
solc,0.077
solc,7.007
solc,0.189
solc,2.516
solc,3.796
solc,4.959
solc,4.987
solc,1.002
solc,0.600
solc,2.154
solc,8.607
solc,1.546
solc,6.775
solc,2.839
solc,2.373
solc,3.253
solc,0.518
solc,0.399
solc,4.869
solc,1.203
solc,5.213
solc,7.711
solc,0.891
solc,0.285
solc,1.989
solc,9.294
solc,2.576
solc,6.615
solc,4.743
solc,0.687
solc,6.883
solc,4.442
solc,1.385
solc,1.138
solc,5.256
solc,3.080
solc,0.773
solc,4.053
solc,8.931
solc,3.227
solc,2.725
solc,8.646
solc,1.909
solc,3.815
solc,2.943
solc,2.873
solc,1.515
solc,2.351
solc,2.018
solc,1.585
solc,4.729
solc,4.349
solc,4.163
solc,7.109
solc,9.515
solc,4.687
solc,4.405
solc,10.674
solc,0.759
solc,1.630
solc,8.008
rtls,0.001
rtls,0.047
rtls,0.030
rtls,0.016
rtls,0.011
rtls,0.006
rtls,0.013
rtls,0.009
rtls,0.025
rtls,0.007
rtls,0.008
rtls,0.012
rtls,0.011
rtls,0.012
rtls,0.032
rtls,0.081
rtls,0.011
rtls,0.025
bbls,3.191
bbls,11.700
bbls,5.402
bbls,22.500
bbls,5.120
bbls,8.763
bbls,1.793
bbls,4.963
bbls,8.892
bbls,5.095
bbls,7.549
bbls,3.686
bbls,6.162
bbls,5.068
bbls,7.084
bbls,4.343
ltl,2.639
ltl,2.132
ltl,0.191
ltl,1.700
ltl,0.785
ltl,1.218
ltl,0.875
ltl,16.500
ltl,63.200
ltl,15.900
ltl,50.800
ltl,40.600
ltl,25.200
ltl,0.289
ltl,0.687
ltl,5.689
ltl,7.683
ltl,16.350
ltl,2.830
ltl,2.836
ltl,82.900
ltl,33.900
ltl,15.600
ltl,0.322
ltl,1.818
ltl,0.259
ltl,1.756
ltl,4.258
ltl,8.694
ltl,0.678
ltl,3.667
ltl,0.972
ltl,0.586
ltl,3.193
ltl,1.990
pw,0.375
pw,0.259
pw,0.713
pw,0.182
pw,0.298
pw,0.251
pw,0.177
pw,0.073
pw,0.123
pw,0.233
pw,0.473
pw,1.441
pw,0.322
pw,0.244
pw,0.326
pw,0.063
pw,0.037
pw,0.606
pw,0.499
pw,0.305
pw,0.128
pw,0.420
flf,0.038
flf,0.034
flf,0.030
flf,0.019
flf,0.034
flf,0.056
flf,0.008
flf,0.010
flf,0.051
flf,0.017
flf,0.080
flf,0.036
flf,0.009
flf,0.061
clover,0.014
clover,0.021
clover,0.009
clover,0.001
clover,0.022
w.s.,0.074
w.s.,0.054
white aster,0.351
white aster,0.086
hgg,0.211
hgg,0.312
hgg,0.206
hgg,0.382
hgg,0.265
tol,0.083
tol,0.057
rose,1.717
rose,0.122
rose,1.038
