site,family,genus,species,height,biomass
Almont,Rosaceae,Amelanchier,utahensis,11.8,0.478
Almont,Rosaceae,Amelanchier,utahensis,31.4,25.911
Almont,Asteraceae,Artemesia,cana,13.5,
Almont,Asteraceae,Artemesia,tridentata,3,
Almont,Asteraceae,Artemesia,tridentata,15,
Almont,Asteraceae,Artemesia,tridentata,24,
Almont,Asteraceae,Artemesia,tridentata,21,
Almont,Asteraceae,Artemesia,tridentata,24,
Almont,Asteraceae,Artemesia,tridentata,31,
Almont,Asteraceae,Balsamorhiza ,sagittata,28.8,46.8
Almont,Asteraceae,Balsamorhiza ,sagittata,14.7,0.427
Almont,Poaceae,Big Grass,,10.8,0.148
Almont,Poaceae,Big Grass,,11.2,0.192
Almont,Brassicaceae,Boechera,crandallii,1.2,0.011
Almont,Brassicaceae,Boechera,crandallii,3.1,0.036
Almont,Brassicaceae,Boechera,crandallii,9.5,3.989
Almont,Brassicaceae,Boechera,crandallii,15,0.189
Almont,Brassicaceae,Boechera,crandallii,13,0.205
Almont,Scrophulariaceae,Castilleja,chromosa,4.4,0.172
Almont,Scrophulariaceae,Castilleja,chromosa,2.9,0.13
Almont,Scrophulariaceae,Castilleja,chromosa,11.5,0.581
Almont,Scrophulariaceae,Castilleja,chromosa,13,1.04
Almont,Cyperaceae,Carex,sp,9.3,0.135
Almont,Cyperaceae,Carex,sp,10.5,0.029
Almont,Cyperaceae,Carex,sp,10.3,0.009
Almont,Cyperaceae,Carex,sp,12.3,0.06
Almont,Cyperaceae,Carex,sp,7.5,0.035
Almont,Cyperaceae,Carex,sp,9.5,0.131
Almont,Cyperaceae,Carex,sp,9.5,0.06
Almont,Cyperaceae,Carex,sp,11.3,0.091
Almont,Cyperaceae,Carex,sp,10.9,0.099
Almont,Cyperaceae,Carex,sp,15.8,0.128
Almont,Cyperaceae,Carex,sp,13.4,0.082
Almont,Cyperaceae,Carex,sp,13.3,0.102
Almont,Cyperaceae,Carex,sp,14,0.072
Almont,Cyperaceae,Carex,sp,7.1,0.007
Almont,Cyperaceae,Carex,sp,16.7,0.028
Almont,Cyperaceae,Carex,sp,7.2,0.008
Almont,Cyperaceae,Carex,sp,10.9,0.06
