site,family,genus,species,height,biomass
CBT,Asteraceae,Achillea,lanulosa,17.4,0.202
CBT,Asteraceae,Achillea,lanulosa,11.2,0.047
CBT,Asteraceae,Achillea,lanulosa,14,1.405
CBT,Asteraceae,Achillea,lanulosa,7.1,0.005
CBT,Asteraceae,Achillea,lanulosa,10.6,0.021
CBT,Asteraceae,Achillea,lanulosa,14.6,0.079
CBT,Asteraceae,Achillea,lanulosa,15.3,0.075
CBT,Asteraceae,Achillea,lanulosa,13.5,0.02
CBT,Asteraceae,Achillea,lanulosa,10.4,0.043
CBT,Asteraceae,Achillea,lanulosa,17,0.048
CBT,Asteraceae,Achillea,lanulosa,17.1,0.046
CBT,Asteraceae,Achillea,lanulosa,14.1,0.093
CBT,Asteraceae,Achillea,lanulosa,18.9,0.122
CBT,Asteraceae,Achillea,lanulosa,5.4,0.009
CBT,Asteraceae,Achillea,lanulosa,14.1,0.028
CBT,Asteraceae,Achillea,lanulosa,6.6,0.008
CBT,Asteraceae,Achillea,lanulosa,15.4,0.05
CBT,Asteraceae,Achillea,lanulosa,11.5,0.066
CBT,Asteraceae,Achillea,lanulosa,6.7,0.009
CBT,Asteraceae,Achillea,lanulosa,11.3,0.065
CBT,Asteraceae,Achillea,lanulosa,19.2,0.107
CBT,Asteraceae,Achillea,lanulosa,15.5,0.079
CBT,Asteraceae,Achillea,lanulosa,10.1,0.036
CBT,Asteraceae,Achillea,lanulosa,5.8,0.007
CBT,Asteraceae,Achillea,lanulosa,7.8,0.022
CBT,Asteraceae,Achillea,lanulosa,6.7,0.018
CBT,Asteraceae,Achillea,lanulosa,10.8,0.063
CBT,Asteraceae,Achillea,lanulosa,2.9,0.001
CBT,Asteraceae,Achillea,lanulosa,3.9,0.008
CBT,Asteraceae,Achillea,lanulosa,4.8,0.017
CBT,Asteraceae,Achillea,lanulosa,3.5,0.006
CBT,Asteraceae,Achillea,lanulosa,8,0.028
CBT,Asteraceae,Achillea,lanulosa,6.3,0.02
CBT,Asteraceae,Achillea,lanulosa,4.7,0.016
CBT,Asteraceae,Achillea,lanulosa,11.7,0.074
CBT,Asteraceae,Achillea,lanulosa,5.5,0.005
CBT,Asteraceae,Achillea,lanulosa,13.8,0.094
CBT,Asteraceae,Achillea,lanulosa,17,0.113
CBT,Asteraceae,Achillea,lanulosa,,0.14
CBT,Asteraceae,Achillea,lanulosa,10.2,0.201
CBT,Asteraceae,Achillea,lanulosa,8,0.055
CBT,Asteraceae,Achillea,lanulosa,10.7,0.088
CBT,Asteraceae,Achillea,lanulosa,10.4,0.078
CBT,Asteraceae,Achillea,lanulosa,6.2,0.015
CBT,Asteraceae,Achillea,lanulosa,7.9,0.012
CBT,Asteraceae,Achillea,lanulosa,11.7,0.058
CBT,Asteraceae,Achillea,lanulosa,7.9,0.053
CBT,Asteraceae,Achillea,lanulosa,9.5,0.106
CBT,Asteraceae,Achillea,lanulosa,10.5,0.073
CBT,Asteraceae,Achillea,lanulosa,9,0.043
CBT,Asteraceae,Achillea,lanulosa,11,0.038
CBT,Asteraceae,Achillea,lanulosa,9,0.057
CBT,Asteraceae,Achillea,lanulosa,12.5,0.131
CBT,Asteraceae,Achillea,lanulosa,4,0.019
CBT,Asteraceae,Achillea,lanulosa,3.6,0.015
CBT,Asteraceae,Achillea,lanulosa,2.8,0.011
CBT,Asteraceae,Achillea,lanulosa,3.2,0.007
CBT,Asteraceae,Artemisia,tridentata,50,
CBT,Asteraceae,Artemisia,tridentata,16.3,
CBT,Asteraceae,Artemisia,tridentata,51.2,
CBT,Asteraceae,Artemisia,tridentata,51.1,
CBT,Asteraceae,Artemisia,tridentata,6.4,
CBT,Asteraceae,Artemisia,tridentata,50.6,
CBT,Asteraceae,Artemisia,tridentata,52,
CBT,Asteraceae,Artemisia,tridentata,54.1,
CBT,Asteraceae,Artemisia,tridentata,11.2,
CBT,Asteraceae,Artemisia,tridentata,49.2,
CBT,Asteraceae,Artemisia,tridentata,10.5,
CBT,Asteraceae,Artemisia,tridentata,13.2,
CBT,Asteraceae,Artemisia,tridentata,9.4,
CBT,Asteraceae,Artemisia,tridentata,17.2,
CBT,Asteraceae,Artemisia,tridentata,18,
CBT,Asteraceae,Artemisia,tridentata,17.3,
CBT,Asteraceae,Artemisia,tridentata,15.1,
CBT,Asteraceae,Artemisia,tridentata,9.5,
CBT,Asteraceae,Artemisia,tridentata,24.1,
CBT,,Hairy unk aster,,10.5,0.034
CBT,Poaceae,Bromopsis,canadensis,7.9,0.007
CBT,Poaceae,Bromopsis,canadensis,10.5,0.01
CBT,Poaceae,Bromopsis,canadensis,12.1,0.019
CBT,Poaceae,Bromopsis,canadensis,48.5,0.427
CBT,Poaceae,Bromopsis,canadensis,46.9,0.862
CBT,Poaceae,Bromopsis,canadensis,34.3,0.069
CBT,Poaceae,Bromopsis,canadensis,50.8,1.111
CBT,Poaceae,Bromopsis,canadensis,52.6,0.606
CBT,Poaceae,Bromopsis,canadensis,11,0.015
CBT,Poaceae,Bromopsis,canadensis,13.6,0.136
CBT,Poaceae,Bromopsis,canadensis,12.2,0.067
CBT,Poaceae,Bromopsis,canadensis,24.8,0.198
CBT,Poaceae,Bromopsis,canadensis,24.3,0.172
CBT,Poaceae,Bromopsis,canadensis,28.2,0.136
CBT,Poaceae,Bromopsis,canadensis,82.3,2.47
CBT,Poaceae,Bromopsis,canadensis,76.7,0.986
CBT,Poaceae,Bromopsis,canadensis,20,0.144
CBT,Poaceae,Bromopsis,canadensis,19.3,0.239
CBT,Poaceae,Bromopsis,canadensis,27.4,0.431
CBT,Poaceae,Bromopsis,canadensis,20.9,0.314
CBT,Poaceae,Bromopsis,canadensis,25,0.271
CBT,Poaceae,Bromopsis,canadensis,40.7,0.526
CBT,Poaceae,Bromopsis,canadensis,27.5,0.222
CBT,Poaceae,Bromopsis,canadensis,25.3,0.288
CBT,Poaceae,Bromopsis,canadensis,31,0.373
CBT,Poaceae,Bromopsis,canadensis,34.2,0.16
CBT,Poaceae,Bromopsis,canadensis,9,0.027
CBT,Poaceae,Bromopsis,canadensis,15,0.318
CBT,Poaceae,Bromopsis,canadensis,11.3,0.056
CBT,Poaceae,Bromopsis,canadensis,12.1,0.011
CBT,Poaceae,Bromopsis,canadensis,10.6,0.017
CBT,Poaceae,Bromopsis,canadensis,15.7,0.024
CBT,Poaceae,Bromopsis,canadensis,10,0.025
CBT,Poaceae,Bromopsis,canadensis,12.6,0.121
CBT,Poaceae,Bromopsis,canadensis,17.9,0.057
CBT,Poaceae,Bromopsis,canadensis,13.4,0.113
CBT,Poaceae,Bromopsis,canadensis,13.5,0.089
CBT,Poaceae,Bromopsis,canadensis,19,0.194
CBT,Poaceae,Bromopsis,canadensis,25.8,0.228
CBT,Poaceae,Bromopsis,canadensis,37.2,0.618
CBT,Poaceae,Bromopsis,canadensis,20.6,0.078
CBT,Poaceae,Bromopsis,canadensis,32.1,0.341
CBT,Poaceae,Bromopsis,canadensis,24.4,0.334
CBT,Poaceae,Bromopsis,canadensis,27.3,0.036
CBT,Poaceae,Bromopsis,canadensis,24.3,0.258
CBT,Poaceae,Bromopsis,canadensis,16.7,0.049
CBT,Poaceae,Bromopsis,canadensis,34.8,7.748
CBT,Poaceae,Bromopsis,canadensis,76,7.481
CBT,Poaceae,Bromopsis,canadensis,63.8,6.187
CBT,Poaceae,Bromopsis,canadensis,60.2,1.527
CBT,Poaceae,Bromopsis,canadensis,25,0.65
CBT,Poaceae,Bromopsis,canadensis,30.5,0.791
CBT,Poaceae,Bromopsis,canadensis,33.8,0.301
CBT,Poaceae,Bromopsis,canadensis,28.4,0.381
CBT,Poaceae,Bromopsis,canadensis,24.2,0.753
CBT,Poaceae,Bromopsis,canadensis,68.2,1.497
CBT,Poaceae,Bromopsis,canadensis,14,0.012
CBT,Poaceae,Bromopsis,canadensis,29.1,0.248
CBT,Poaceae,Bromopsis,canadensis,27.8,0.369
CBT,Poaceae,Bromopsis,canadensis,25.5,0.188
CBT,Poaceae,Bromopsis,canadensis,8,0.006
CBT,Poaceae,Bromopsis,canadensis,8.1,0.021
CBT,Poaceae,Bromopsis,canadensis,8,0.017
CBT,Poaceae,Bromopsis,canadensis,9.1,0.042
CBT,Poaceae,Bromopsis,canadensis,10.1,0.013
CBT,Poaceae,Bromopsis,canadensis,10.6,0.033
CBT,Poaceae,Bromopsis,canadensis,11.2,0.056
CBT,Poaceae,Bromopsis,canadensis,12.5,0.067
CBT,Poaceae,Bromopsis,canadensis,33,0.196
CBT,Poaceae,Bromopsis,canadensis,16.2,0.021
CBT,Poaceae,Bromopsis,canadensis,41.1,0.252
