site,family,genus,species,height,biomass
PBM,Fumariaceae,Corydalis,caseana,93,73.62
PBM,Fumariaceae,Corydalis,caseana,101,112.55
PBM,Fumariaceae,Corydalis,caseana,89.5,70.36
PBM,Fumariaceae,Corydalis,caseana,85.2,54.15
PBM,Fumariaceae,Corydalis,caseana,82.7,47.73
PBM,Fumariaceae,Corydalis,caseana,3,0.003
PBM,Fumariaceae,Corydalis,caseana,2.3,0.001
PBM,Liliaceae,Erythronium,grandiflorum,18,0.03
PBM,Liliaceae,Erythronium,grandiflorum,11,0.084
PBM,Liliaceae,Erythronium,grandiflorum,19.2,0.212
PBM,Liliaceae,Erythronium,grandiflorum,9,0.027
PBM,Poaceae,Grass,,8,0.105
PBM,Boraginaceae,Mertensia,fusiformis,17.7,0.147
PBM,Boraginaceae,Mertensia,fusiformis,10.4,0.038
PBM,Boraginaceae,Mertensia,fusiformis,6.5,0.012
PBM,Boraginaceae,Mertensia,fusiformis,11,0.112
PBM,Boraginaceae,Mertensia,fusiformis,5.4,0.021
PBM,Boraginaceae,Mertensia,fusiformis,10.7,0.051
PBM,Boraginaceae,Mertensia,fusiformis,19,0.216
PBM,Boraginaceae,Mertensia,fusiformis,11.2,0.061
PBM,Boraginaceae,Mertensia,fusiformis,10.8,0.037
PBM,Boraginaceae,Mertensia,fusiformis,13.7,0.155
PBM,Boraginaceae,Mertensia,fusiformis,5.5,0.031
PBM,Boraginaceae,Mertensia,fusiformis,9.4,0.098
PBM,Boraginaceae,Mertensia,fusiformis,29.4,0.274
PBM,Boraginaceae,Mertensia,fusiformis,34.2,0.429
PBM,Boraginaceae,Mertensia,fusiformis,27,0.314
PBM,Boraginaceae,Mertensia,fusiformis,33.6,0.41
PBM,Boraginaceae,Mertensia,fusiformis,34.7,0.374
PBM,Boraginaceae,Mertensia,fusiformis,24.5,0.309
PBM,Boraginaceae,Mertensia,fusiformis,23.2,0.305
PBM,Boraginaceae,Mertensia,fusiformis,18.9,0.156
PBM,Boraginaceae,Mertensia,fusiformis,28.3,0.62
PBM,Boraginaceae,Mertensia,fusiformis,10.2,0.036
PBM,Boraginaceae,Mertensia,fusiformis,8.5,0.019
PBM,Boraginaceae,Mertensia,fusiformis,13.4,0.103
PBM,Boraginaceae,Mertensia,fusiformis,8,0.034
PBM,Boraginaceae,Mertensia,fusiformis,15.3,0.146
PBM,Boraginaceae,Mertensia,fusiformis,10.4,0.07
PBM,Boraginaceae,Mertensia,fusiformis,20,0.189
PBM,Boraginaceae,Mertensia,fusiformis,25,0.388
PBM,Boraginaceae,Mertensia,fusiformis,12.5,0.132
PBM,Boraginaceae,Mertensia,fusiformis,12.5,0.057
PBM,Boraginaceae,Mertensia,fusiformis,14,0.144
PBM,Boraginaceae,Mertensia,fusiformis,31,0.561
PBM,Boraginaceae,Mertensia,fusiformis,7.2,0.041
PBM,Boraginaceae,Mertensia,fusiformis,6,0.02
PBM,Boraginaceae,Mertensia,fusiformis,7.2,0.054
PBM,Boraginaceae,Mertensia,fusiformis,20.8,0.218
PBM,Boraginaceae,Mertensia,fusiformis,12.7,0.104
PBM,Boraginaceae,Mertensia,fusiformis,15,0.117
PBM,Boraginaceae,Mertensia,fusiformis,19.2,0.211
PBM,Boraginaceae,Mertensia,fusiformis,24,0.382
PBM,Boraginaceae,Mertensia,fusiformis,18.8,0.258
PBM,Boraginaceae,Mertensia,fusiformis,19.2,0.198
PBM,Boraginaceae,Mertensia,fusiformis,25.1,0.286
PBM,Boraginaceae,Mertensia,fusiformis,18.5,0.201
PBM,Boraginaceae,Mertensia,fusiformis,8.6,0.082
PBM,Boraginaceae,Mertensia,fusiformis,26.1,0.394
PBM,Boraginaceae,Mertensia,fusiformis,32.5,0.6
PBM,Boraginaceae,Mertensia,fusiformis,30.6,0.649
PBM,Boraginaceae,Mertensia,fusiformis,26.2,0.681
PBM,Boraginaceae,Mertensia,fusiformis,22.5,0.508
PBM,Boraginaceae,Mertensia,fusiformis,25,0.245
PBM,Boraginaceae,Mertensia,fusiformis,38.4,0.624
PBM,Boraginaceae,Mertensia,fusiformis,22.6,0.097
PBM,Boraginaceae,Mertensia,fusiformis,31,0.407
PBM,Boraginaceae,Mertensia,fusiformis,12,0.056
PBM,Boraginaceae,Mertensia,fusiformis,13.3,0.054
PBM,Boraginaceae,Mertensia,fusiformis,8,0.063
PBM,Boraginaceae,Mertensia,fusiformis,6,0.032
PBM,Boraginaceae,Mertensia,fusiformis,12.5,0.119
PBM,Boraginaceae,Mertensia,fusiformis,28,0.613
PBM,Boraginaceae,Mertensia,fusiformis,25.4,0.418
PBM,Boraginaceae,Mertensia,fusiformis,28.7,0.527
PBM,Boraginaceae,Mertensia,fusiformis,11.3,0.078
PBM,Boraginaceae,Mertensia,fusiformis,16,0.158
PBM,Boraginaceae,Mertensia,fusiformis,19,0.109
PBM,Boraginaceae,Mertensia,fusiformis,11.2,0.016
PBM,Boraginaceae,Mertensia,fusiformis,10.5,0.057
PBM,Boraginaceae,Mertensia,fusiformis,11,0.057
PBM,Boraginaceae,Mertensia,fusiformis,15.2,0.057
PBM,Boraginaceae,Mertensia,fusiformis,7.8,0.007
PBM,Boraginaceae,Mertensia,fusiformis,17.2,0.06
PBM,Boraginaceae,Mertensia,fusiformis,7.5,0.057
PBM,Boraginaceae,Mertensia,fusiformis,15.2,0.076
PBM,Boraginaceae,Mertensia,fusiformis,20.2,0.385
PBM,Boraginaceae,Mertensia,fusiformis,21.4,0.341
PBM,Boraginaceae,Mertensia,fusiformis,17.2,0.15
PBM,Boraginaceae,Mertensia,fusiformis,23.4,0.274
PBM,Boraginaceae,Mertensia,fusiformis,11.9,0.11
PBM,Boraginaceae,Mertensia,fusiformis,21.9,0.239
PBM,Boraginaceae,Mertensia,fusiformis,15.5,0.246
PBM,Boraginaceae,Mertensia,fusiformis,20.5,0.138
PBM,Boraginaceae,Mertensia,fusiformis,24.7,0.393
PBM,Boraginaceae,Mertensia,fusiformis,9.5,0.094
PBM,Boraginaceae,Mertensia,fusiformis,9.2,0.01
PBM,Boraginaceae,Mertensia,fusiformis,21,0.231
PBM,Boraginaceae,Mertensia,fusiformis,22.1,0.29
PBM,Boraginaceae,Mertensia,fusiformis,16.5,0.126
PBM,Boraginaceae,Mertensia,fusiformis,8,0.007
PBM,Boraginaceae,Mertensia,fusiformis,4,0.01
PBM,Boraginaceae,Mertensia,fusiformis,3.2,0.008
PBM,Boraginaceae,Mertensia,fusiformis,8.4,0.018
PBM,Boraginaceae,Mertensia,fusiformis,14.5,0.117
PBM,Boraginaceae,Mertensia,fusiformis,15.2,0.133
PBM,Boraginaceae,Mertensia,fusiformis,16,0.07
PBM,Boraginaceae,Mertensia,fusiformis,10,0.032
PBM,Boraginaceae,Mertensia,fusiformis,13,0.116
PBM,Boraginaceae,Mertensia,fusiformis,12.8,0.083
PBM,Boraginaceae,Mertensia,fusiformis,13.7,0.082
PBM,Boraginaceae,Mertensia,fusiformis,16.1,0.086
PBM,Boraginaceae,Mertensia,fusiformis,18,0.081
PBM,Boraginaceae,Mertensia,fusiformis,30.2,0.36
PBM,Boraginaceae,Mertensia,fusiformis,9.8,0.064
PBM,Boraginaceae,Mertensia,fusiformis,17.2,0.119
