Field Name ,Weight,
Agr,1.6109,1771
Agr,0.7811,1770
Agr,15,1769
Agr,4.7,1768
Agr,4.1,1767
Agr,6.6,1766
Agr,7.9,1765
Agr,7.4,1764
Agr,4.6,1763
Agr,3.2,1762
Agr,3.4,1761
Agr,3,1760
Agr,1.2353,1759
Agr,2.8,1758
Agr,3.1,1757
Agr,1.5788,1756
Agr,5.4,1755
Agr,1.0375,1754
Agr,5.6,1753
Agr,5.1,1752
Agr,8.4,1751
Agr,8.3,1750
Agr,4.5,1749
Agr,5,1748
Agr,5.1,1747
Agr,14.8,1746
Agr,8.3,1745
Agr,6.1,1744
Agr,7.7,1743
Agr,4.2,1742
Agr,7.6,1741
Dead,1.9493,1740
Mon,0.7974,1739
Tri,1.3827,1738
Agr,4.5,1737
Agr,6.5,1736
Agr,4.9,1735
Agr,14.5,1734
Agr,2.3115,1733
Agr,6.6,1732
Agr,1.9473,1731
Agr,1.589,1730
Agr,10.9,1729
Agr,8,1728
Mon,1.3179,1727
Mon,1.0134,1726
Mon,1.4281,1725
Bone,3.2,1724
Agr,8.2,1723
Agr,8.5,1722
Agr,5.2,1721
Mon,0.442,1720
Agr,1.9105,1719
Agr,3.5,1718
Agr,7.2,1717
Agr,9.8,1716
Agr,5.7,1715
Agr,3.4,1714
Agr,3.6,1713
Agr,7.7,1712
Agr,6.7,1711
Agr,7,1710
Agr,8.8,1709
Agr,5.9,1708
Agr,4.1,1707
Agr,3.9,1706
Agr,16.6,1705
Fla,0.2495,1704
Fla,0.3872,1703
Fla,0.2844,1702
Fla,0.1018,1701
Fla,0.2345,1700
Mon,0.2009,1699
Fla,0.0687,1698
Fox,0.1476,1697
Fox,0.4808,1696
Fox,0.4476,1695
Fox,0.8388,1694
Fla,0.2278,1693
Mon,0.2849,1692
Tri,0.351,1691
Mon,0.1087,1690
Fla,0.1009,1689
Fla,0.1968,1688
Fox,0.3895,1687
Fox,0.3171,1686
Fox,0.237,1685
Fox,0.169,1684
Fox,0.2501,1683
Fox,0.4966,1682
Fox,0.7355,1681
Mon,0.502,1680
Fox,0.3836,1679
Fox,0.2396,1678
Fox,0.1189,1677
Fox,0.2892,1676
Fox,0.4758,1675
Fox,0.4675,1674
Fox,0.5618,1673
Fox,0.3206,1672
Fox,0.6597,1671
Fox,0.7801,1670
Fox,0.2757,1669
Fox,0.829,1668
Fox,0.2843,1667
Fox,0.3729,1666
Fox,0.2442,1665
Fox,0.7715,1664
Fox,0.4847,1663
Mon,0.8017,1662
Mon,0.199,1661
Fox,0.3772,1660
Fox,0.5424,1659
Fox,0.573,1658
Fox,0.4336,1657
Fox,0.6579,1656
Fox,0.2198,1655
Cla,0.5276,1654
Fox,0.334,1653
Fox,0.6288,1652
Fox,0.1393,1651
Mon,0.5685,1650
Fox,0.4893,1649
Fox,0.5416,1648
Fox,0.3779,1647
Fox,0.5343,1646
Fox,0.3741,1645
Fox,0.0749,1644
Fox,0.1157,1643
Fox,0.7261,1642
Fox,0.3604,1641
Fox,0.3102,1640
Fox,0.4521,1639
Fox,0.4245,1638
Fox,0.6203,1637
Fox,0.4357,1636
Fox,0.386,1635
Fox,0.2922,1634
Fox,0.2476,1633
Fin,0.9028,1632
Fin,0.1585,1631
Fox,0.4578,1630
Fox,0.2412,1629
Fox,0.4171,1628
Fox,0.3409,1627
Fox,0.3717,1626
Fox,0.3811,1625
Fox,0.2121,1624
Fox,0.3883,1623
Fox,0.7713,1622
Fox,0.6242,1621
Fox,0.3419,1620
Fox,0.3794,1619
Fox,0.5441,1618
Fox,0.5732,1617
Fox,0.0882,1616
Fox,0.5208,1615
Fox,0.4939,1614
Fox,0.4951,1613
Fox,0.3851,1612
Fox,0.4538,1611
Fox,0.4013,1610
Fox,0.6486,1609
