Field Name,Weight,,,,
Odi,1.5855,1,,,
Snap,1.8805,2,,,
Hor,0.8543,3,,,
Red,0.0471,4,,,
Red,0.1074,5,,,
Red,0.0731,6,,,
Dead,0.0814,7,,,
Dead,0.2602,8,,,
Red,0.0783,9,,,
Fla,0.0766,10,,,
Red,0.0394,11,,,
Red,0.0275,12,,,
Red,0.0364,13,,,
Osm,0.0161,14,,,
Fla,0.0503,15,,,
Odi,0.0556,16,,,
Red,0.1001,17,,,
Red,0.0379,18,,,
Red,0.074,19,,,
Red,0.1041,20,,,
Red,0.053,21,,,
Red,0.0223,22,,,
Fla,0.0325,23,,,
Fla,0.0307,24,,,
Red,0.1442,25,,,
Red,0.0282,26,,,
Fla,0.1074,27,,,
Red,0.0194,28,,,
Fla,0.0367,29,,,
Red,0.0328,30,,,
Red,0.0909,31,,,
Odi,0.1596,32,,,
Fla,0.0697,33,,,
Fox,0.5993,34,,,
Red,0.0965,35,,,
Odi,0.0238,36,,,
Fox,0.2287,37,,,
Red,0.0201,38,,,
Fox,0.0557,39,,,
Fla,0.0392,40,,,
Tin,0.0931,41,,,
Odi,0.1077,42,,,
Agr,0.0144,43,,,
Fla,0.0444,44,,,
Odi,0.0892,45,,,
Fla,0.0703,46,,,
Red,0.1228,47,,,
Fox,0.0921,48,,,
Fla,0.0493,49,,,
Fla,0.0868,50,,,
Red,0.0333,51,,,
Red,0.0341,52,,,
Fla,0.1266,53,,,
Fla,0.0528,54,,,
Red,0.1752,55,,,
Fox,0.1938,56,,,
Odi,0.4344,57,,,
Fla,0.2424,58,,,
Red,0.0262,59,,,
Fla,0.0276,60,,,
Fox,0.1108,61,,,
Red,0.0327,62,,,
Fla,0.0263,63,,,
Fox,0.4973,64,,,
Fla,0.0271,65,,,
Fla,0.0182,66,,,
Fla,0.041,67,,,
Fla,0.0219,68,,,
Red,0.0848,69,,,
Red,0.0716,70,,,
Mon,0.211,71,,,
Red,0.09,72,,,
Arr,0.0355,73,,,
Red,0.0621,74,,,
Fox,0.0978,75,,,
Fin,0.0532,76,,,
Red,0.0361,77,,,
Dead,0.1838,78,,,
Dead,0.209,79,,,
Red,0.0418,80,,,
Fla,0.1322,81,,,
Fla,0.064,82,,,
Odi,0.1064,83,,,
Fox,0.165,84,,,
Dead,0.1215,85,,,
Red,0.187,86,,,
Fox,0.2113,87,,,
Fox,0.1875,88,,,
Fla,0.0707,89,,,
Red,0.0194,90,,,
Red,0.0476,91,,,
Dead,0.2476,92,,,
Fla,0.0405,93,,,
Red,0.0315,94,,,
Fla,0.1625,95,,,
Dead,0.1419,96,,,
Red,0.0274,97,,,
Fla,0.0326,98,,,
Fla,0.0323,99,,,
Fla,0.0337,100,,,
Fla,0.0461,101,,,
Red,0.0429,102,,,
Red,0.0208,103,,,
Fox,0.0719,104,,,
Fla,0.0162,105,,,
hor,0.0761,106,,,
Red,0.0284,107,,,
Agr,0.0214,108,,,
Dead,0.236,109,,,
Fla,0.0395,110,,,
Red,0.0613,111,,,
Red,0.0242,112,,,
Fla,0.0378,113,,,
Fla,0.1258,114,,,
Fox,0.0897,115,,,
Fla,0.0323,116,,,
Dead,0.2716,117,,,
Fla,0.0443,118,,,
Fla,0.0277,119,,,
Fla,0.0812,120,,,
Fla,0.1042,121,,,
Red,0.0751,122,,,
Fla,0.121,123,,,
Fla,0.1848,124,,,
Fox,0.286,125,,,
Red,0.0456,126,,,
Fla,0.1698,127,,,
Fla,0.0283,128,,,
Dead,0.3983,129,,,
Red,0.0469,130,,,
Fox,0.1206,131,,,
Fox,0.1068,132,,,
Fox,0.1876,133,,,
Red,0.0428,134,,,
Fla,0.0647,135,,,
Fla,0.0275,136,,,
Fla,0.0973,137,,,
Fla,0.0408,138,,,
Fla,0.0202,139,,,
Fla,0.0496,140,,,
Fla,0.0581,141,,,
Red,0.0723,142,,,
Red,0.0338,143,,,
Fla,0.0321,144,,,
Fla,0.0424,145,,,
Red,0.0417,146,,,
Red,0.0943,147,,,
Fla,0.03,148,,,
Fla,0.0482,149,,,
Fla,0.0671,150,,,
Fin,0.0564,151,,,
Red,0.0431,152,,,
Fla,0.0291,153,,,
Red,0.013,154,,,
Fla,0.05,155,,,
Fla,0.0789,156,,,
Fla,0.0356,157,,,
Fox,0.0368,158,,,
Red,0.0223,159,,,
Red,0.0503,160,,,
Fla,0.0548,161,,,
Fla,0.0417,162,,,
Fla,0.0343,163,,,
Dead,0.1134,164,,,
Red,0.1124,165,,,
Dead,0.1348,166,,,
Dead,0.155,167,,,
Dead,0.6763,168,,,
Fox,0.1355,169,,,
Dead,0.0829,170,,,
Odi,0.102,171,,,
Sti,0.5703,172,,,
Sti,0.8365,173,,,
Fox,0.5803,174,,,
Hor,0.5653,175,,,
Fox,0.4123,176,,,
Fox,0.4064,177,,,
Red,0.4329,178,,,
Fox,0.3111,179,,,
odi,0.4099,180,,,
Fox,0.529,181,,,
Fox,0.5184,182,,,
Fox,0.1263,183,,,
Fox,0.6258,184,,,
Odi,0.6839,185,,,
Fox,0.5056,186,,,
Fox,0.4579,187,,,
Dead,0.248,188,,,
Bul,0.5235,189,,,
Fox,0.6473,190,,,
Fox,0.3831,191,,,
Fla,0.1648,192,,,
Odi,0.2531,193,,,
Fox,0.342,194,,,
Odi,0.633,195,,,
Dead,0.2155,196,,,
Fox,0.5878,197,,,
Sti,0.3446,198,,,
Hor,0.2455,199,,,
Odi,0.4589,200,,,
Fox,0.3292,201,,,
Fox,0.3473,202,,,
Odi,0.4672,203,,,
Fox,0.4915,204,,,
Fox,0.5512,205,,,
Odi,0.8616,206,,,
Odi,0.3524,207,,,
Odi,0.5343,208,,,
Odi,0.3676,209,,,
Red,0.154,210,,,
Odi,0.7272,211,,,
Fox,0.4716,212,,,
Fox,0.3514,213,,,
Fox,0.3783,214,,,
Odi,0.2965,215,,,
Fox,0.3821,216,,,
Fla,0.2836,217,,,
Odi,0.5594,218,,,
Red,0.0738,219,,,
Fox,0.2266,220,,,
Fox,0.5456,221,,,
Hor,0.334,222,,,
Red,0.1044,223,,,
Red,0.0443,224,,,
Mon,0.4163,225,,,
Fox,0.2186,226,,,
Odi,0.3673,227,,,
Red,0.3855,228,,,
Hor,0.5567,229,,,
Fox,0.252,230,,,
Fox,0.6078,231,,,
Fox,0.6645,232,,,
Odi,0.4915,233,,,
Odi,0.4383,234,,,
Fox,0.606,235,,,
Odi,0.4495,236,,,
Fox,0.4849,237,,,
Fox,0.4451,238,,,
Hor,0.8353,239,,,
Fox,0.3321,240,,,
Fox,0.1641,241,,,
Fox,0.352,242,,,
Tri,0.4221,243,,,
Odi,0.3335,244,,,
Fox,0.6027,245,,,
Odi,0.1856,246,,,
Bul,0.8346,247,,,
Odi,2.2137,248,,,
Agr,2.3083,249,,,
Odi,2.2437,250,,,
Odi,1.4842,251,,,
Odi,1.1735,252,,,
Odi,1.1939,253,,,
Odi,2.1625,254,,,
Bone,0.7643,255,,,
Mint,1.6357,256,,,
Hor,2.6552,257,,,
Bul,0.762,258,,,
Bul,1.5142,259,,,
Sti,1.3884,260,,,
Odi,2.8636,261,,,
Hor,1.1268,262,,,
Hor,0.9315,263,,,
Odi,0.6528,264,,,
Bul,1.1768,265,,,
Hor,0.9968,266,,,
Hor,1.2378,267,,,
Hor,1.0405,268,,,
Bone,1.6548,269,,,
Agr,1.3871,270,,,
Odi,1.0459,271,,,
Odi,1.2966,272,,,
Odi,1.0702,273,,,
Odi,0.517,274,,,
Odi,0.6593,275,,,
Odi,2.2934,276,,,
Sti,1.2671,277,,,
Fox,0.4395,278,,,
Sti,0.5118,279,,,
Blu,1.4564,280,,,
Odi,0.2301,281,,,
Hor,0.5889,282,,,
Fox,0.6593,283,,,
Sti,0.6885,284,,,
Fox,0.3948,285,,,
Sti,0.3733,286,,,
Fox,0.3891,287,,,
Fox,0.1711,288,,,
Sti,0.096,289,,,
Fox,0.236,290,,,
Sti,0.9627,291,,,
Odi,0.314,292,,,
Fox,0.6275,293,,,
Sti,0.4882,294,,,
Fox,0.6546,295,,,
Sti,0.9334,296,,,
Odi,0.357,297,,,
Fox,0.3071,298,,,
Fox,0.2934,299,,,
Tri,0.5809,300,,,
Sti,0.2049,301,,,
Fox,0.7032,302,,,
Hor,0.3221,303,,,
Fox,0.6493,304,,,
Odi,1.1513,305,,,
Fox,0.3847,306,,,
Odi,0.3466,307,,,
Fox,0.3318,308,,,
Fox,0.5618,309,,,
Odi,0.5225,310,,,
Sha,0.2544,311,,,
Mon,0.3324,312,,,
Hor,0.1314,313,,,
Sti,0.5938,314,,,
Fox,0.5439,315,,,
Odi,0.3097,316,,,
Fox,0.5923,317,,,
Hor,0.1499,318,,,
Fox,0.1557,319,,,
Odi,0.3786,320,,,
Hor,0.4588,321,,,
Tri,0.4752,322,,,
Fox,0.4607,323,,,
Fox,0.423,324,,,
Fox,0.3973,325,,,
Fox,0.2942,326,,,
Dead,0.325,327,,,
Hor,0.4035,328,,,
Red,0.1676,329,,,
Fox,0.5123,330,,,
Odi,0.7005,331,,,
Fox,0.5717,332,,,
Dead,0.2749,333,,,
Fox,0.2642,334,,,
Fox,0.1364,335,,,
Fox,0.2322,336,,,
Bul,0.6289,337,,,
Fla,0.2337,338,,,
Hor,0.089,339,,,
Odi,0.4755,340,,,
Odi,0.6135,341,,,
Fox,0.1586,342,,,
Dead,0.194,343,,,
Fox,0.4833,344,,,
Fox,0.3538,345,,,
Odi,0.718,346,,,
Odi,1.0089,347,,,
